year,region,area,lynx_family_groups,lynx_family_groups_intrapolated,lynx_harvest,roe_deer_harvest_mean,roe_deer_harvest_sd,roe_deer_harvest_lower,roe_deer_harvest_upper
1994,1,5.85,24,24,0,1273,272,885,1951
1995,1,5.85,24,24,0,599,208,297,1114
1996,1,5.85,24,24,0,554,214,261,1099
1997,1,5.85,NA,23,1,192,78,74,379
1998,1,5.85,22,22,2,175,86,53,391
1999,1,5.85,NA,18,6,147,65,51,307
2000,1,5.85,13,13,7,156,62,62,305
2001,1,5.85,10,10,2,216,69,102,374
2002,1,5.85,NA,11,4,224,68,115,380
2003,1,5.85,11,11,3,270,86,130,468
2004,1,5.85,NA,9,0,323,95,169,543
2005,1,5.85,6,6,0,383,111,204,641
2006,1,5.85,8,8,1,419,121,222,698
2007,1,5.85,7,7,1,332,98,180,565
2008,1,5.85,7,7,0,482,145,244,814
2009,1,5.85,7,7,0,658,185,360,1087
2010,1,5.85,7,7,2,680,184,387,1107
2011,1,5.85,8,8,7,616,182,335,1049
2012,1,5.85,6,6,8,721,205,402,1207
2013,1,5.85,4,4,7,643,209,331,1149
2014,1,5.85,3,3,3,642,191,346,1094
2015,1,5.85,3,3,0,597,188,296,1031
2016,1,5.85,4,4,0,686,190,383,1129
2017,1,5.85,4,4,0,815,226,458,1343
2018,1,5.85,5,5,0,735,236,379,1305
2019,1,5.85,5,5,0,738,252,359,1346
2020,1,5.85,3,3,1,838,269,433,1489
2021,1,5.85,5,5,0,878,286,455,1578
2022,1,5.85,5,5,0,NA,NA,NA,NA
1994,2,24.12,29,29,0,2014,366,1422,2858
1995,2,24.12,30,30,0,1134,293,731,1879
1996,2,24.12,27,27,0,877,304,435,1627
1997,2,24.12,NA,25,4,590,201,292,1078
1998,2,24.12,23,23,9,463,227,161,1051
1999,2,24.12,NA,25,11,422,203,180,977
2000,2,24.12,27,27,13,401,188,170,908
2001,2,24.12,32,32,16,460,178,228,926
2002,2,24.12,NA,28,6,434,166,219,869
2003,2,24.12,24,24,4,491,190,246,989
2004,2,24.12,NA,22,1,532,214,241,1080
2005,2,24.12,19,19,0,567,214,272,1109
2006,2,24.12,16,16,3,605,230,301,1201
2007,2,24.12,25,25,4,501,198,243,1020
2008,2,24.12,23,23,4,710,261,341,1363
2009,2,24.12,12,12,6,988,302,535,1719
2010,2,24.12,15,15,13,893,274,493,1566
2011,2,24.12,18,18,3,770,248,410,1382
2012,2,24.12,22,22,1,838,294,422,1573
2013,2,24.12,14,14,3,845,322,383,1646
2014,2,24.12,9,9,0,949,332,453,1754
2015,2,24.12,8,8,0,983,315,511,1746
2016,2,24.12,12,12,0,944,307,473,1678
2017,2,24.12,13,13,5,1021,347,509,1870
2018,2,24.12,12,12,2,931,373,405,1866
2019,2,24.12,19,19,4,932,344,426,1775
2020,2,24.12,14,14,9,1126,359,601,2007
2021,2,24.12,16,16,5,1133,378,589,2069
2022,2,24.12,16,16,6,NA,NA,NA,NA
1994,3,16.45,17,17,0,4542,807,3223,6386
1995,3,16.45,27,27,0,3187,572,2260,4503
1996,3,16.45,26,26,0,3229,572,2302,4545
1997,3,16.45,NA,24,1,2088,366,1496,2932
1998,3,16.45,22,22,9,1399,248,1062,2034
1999,3,16.45,NA,23,10,1542,257,1212,2221
2000,3,16.45,24,24,13,1163,208,901,1717
2001,3,16.45,14,14,3,1302,248,965,1939
2002,3,16.45,NA,14,5,1411,221,1131,1996
2003,3,16.45,14,14,2,1115,249,789,1767
2004,3,16.45,NA,18,0,1033,209,764,1582
2005,3,16.45,21,21,0,1055,229,732,1630
2006,3,16.45,26,26,5,1108,238,783,1715
2007,3,16.45,18,18,8,984,212,708,1540
