year,hare,lynx
1845,30,4
1846,8,5
1847,103,9
1848,784,6
1849,1870,10
1850,4245,8
1851,8160,16
1852,15735,26
1853,25320,34
1854,49759,43
1855,76853,39
1856,78824,30
1857,94379,20
1858,102531,8
1859,97150,3
1860,76750,4
1861,53500,8
1862,26750,9
1863,12400,6
1864,6500,5
1865,3950,7
1866,2250,12
1867,1800,16
1868,3500,28
1869,9150,45
1870,25750,71
1871,58000,100
1872,70000,27
1873,77400,17
1874,63000,12
1875,44300,7
1876,27750,5
1877,14200,7
1878,8100,12
1879,5500,9
1880,3920,5
1881,2930,5
1882,2330,8
1883,1870,5
1884,1230,5
1885,740,6
1886,530,10
1887,360,10
1888,337,10
1889,224,8
1890,144,13
1891,80,19
1892,49,26
1893,53,22
1894,18,18
1895,7,9
1896,11,5
1897,6,5
1898,3,6
1899,3,7
1900,4,12
1901,8,12
1902,23,19
1903,18,27
1904,7,24
