Date	JulianDay	LimncalanusM	LimncalanusF	D.mendotae	Prior_to_1st_Daphnia_obs	Bythotrephes
4/21/94	111	0	0.172	0	1	0
5/20/94	140	0.325	0.872	0	1	0
6/30/94	181	1.032	1.996	0.019	0	0
7/25/94	206	2.364	3.632	3.753	0	0.064
8/6/94	218	1.689	1.355	14.685	0	0.333
9/26/94	269	4.306	3.847	48.198	0	0.969
11/10/94	314	1.006	1.712	0.671	0	0.625
4/7/95	97	0.08	0	0	1	0
4/17/95	107	0.104	0.14	0	1	0
4/28/95	118	0.241	0.165	0.014	0	0
5/31/95	151	1.199	1.19	0	0	0
6/5/95	156	1.183	1.085	0	0	0
6/22/95	173	2.471	2.342	0.027	0	0
6/29/95	180	1.891	3.007	0.138	0	0.003
7/10/95	191	0.912	1.222	1.15	0	0.002
7/17/95	198	1.136	2.666	1.057	0	0
7/24/95	205	1.877	2.262	3.303	0	0.077
7/31/95	212	2.228	3.573	5.439	0	0.387
8/17/95	229	1.272	2.422	18.648	0	0.074
8/30/95	242	0.77	1.875	8.232	0	0.091
9/18/95	261	2.077	1.712	20.497	0	0.071
10/10/95	283	0.662	1.259	9.398	0	1.255
11/29/95	333	0	0	0.015	0	0.124
4/8/96	99	0.036	0.049	0	1	0
4/16/96	107	0.089	0	0	1	0
5/3/96	124	0.122	0.175	0	1	0
5/23/96	144	0.114	3.856	0	1	0
6/3/96	155	1.071	2.477	0	1	0
6/10/96	161	1.707	2.885	0	1	0
7/17/96	199	2.867	3.442	0.043	0	0.04
8/6/96	219	1.16	2.061	8.489	0	0.694
10/1/96	275	0.478	1.335	33.914	0	0.725
11/5/96	310	0	0.414	0.694	0	2.193
12/4/96	339	0	0.453	0	0	0.16
3/24/97	83	0.203	0.509	0	1	0
4/22/97	112	0.346	0.525	0	1	0
5/20/97	140	0.459	1.072	0.041	0	0
6/26/97	177	5.886	7.147	0.198	0	0
7/21/97	202	2.946	3	4.112	0	0.087
8/25/97	237	4.17	6.129	22.349	0	0.752
9/24/97	267	1.727	2.56	8.944	0	0.98
10/23/97	296	3.196	4.753	0.603	0	0.712
11/21/97	325	0.739	0.248	0.109	0	0.202
12/2/97	336	1.042	1.032	0	0	0.021
2/24/98	55	1.083	1.452	0	1	0
3/19/98	78	0.572	0.433	0	1	0
4/20/98	110	0	0.319	0	1	0
5/4/98	124	0	0.339	0	1	0
6/25/98	176	2.876	1.934	0.508	0	0.002
7/7/98	188	1.517	2.033	1.594	0	0.203
8/19/98	231	1.337	1.041	23.754	0	0.306
9/14/98	257	0.259	0.927	7.24	0	0.095
10/22/98	295	0.096	0.141	2.744	0	0.03
10/29/98	302	0.301	0.298	1.521	0	0
11/17/98	321	0.113	0.226	0.097	0	0.372
12/8/98	342	0.063	0.168	0.014	0	0.06
12/14/98	348	0.308	0.777	0	0	0.001
2/19/99	50	0	0	0	1	0
3/14/99	67	0.04	0.108	0	1	0
4/13/99	103	0	1.046	0	1	0
4/26/99	116	1.146	2.504	0	1	0
6/4/99	155	1.225	1.18	0	1	0
7/30/99	211	2.232	3.167	5.304	0	1.121
8/17/99	229	1.703	1.433	8.066	0	0.012
9/12/99	256	2.934	3.232	10.332	0	0.366
12/13/99	347	0.807	0.907	0.011	0	0.039
2/23/00	54	0	1.122	0	1	0
3/15/00	75	0	0	0	1	0
4/5/00	96	0.208	0	0	1	0
5/15/00	136	0.397	1.066	0	1	0
6/7/00	159	0.479	1.187	0.105	0	0
6/28/00	179	3.628	4.103	0.537	0	0.001
7/9/00	191	1.293	1.659	6.082	0	0.22
7/20/00	202	1.988	0.888	3.113	0	0.903
8/9/00	222	0.181	0.243	0.3	0	0.871
8/21/00	233	2.092	0.554	2.949	0	0.679
9/9/00	253	1.804	1.209	1.068	0	1.373
9/21/00	266	1.378	2.114	2.475	0	0.246
10/5/00	279	0.998	1.801	5.788	0	1.459
10/23/00	297	0.587	0.525	10.143	0	1.734
6/13/01	164	2.155	2.522	0	1	0
7/2/01	183	2.765	3.028	0.068	0	0.006
7/26/01	207	2.436	1.92	0.831	0	0.651
8/2/01	214	1.137	1.077	5.615	0	0
8/14/01	226	0	1.838	5.509	0	0
9/27/01	270	1.284	3.457	32.17	0	0.218
11/16/01	320	0.42	0.585	0.231	0	0.625
4/15/02	105	0	0	0	1	0
5/14/02	134	0	0.837	0	1	0
6/10/02	161	0.292	0.579	0	1	0
6/19/02	170	0	0.6	0.053	0	0
7/1/02	182	1.034	1.71	0.082	0	0
7/17/02	198	1.609	2.162	1.142	0	0.205
8/9/02	221	0.555	0.744	3.632	0	0.715
8/20/02	232	2.019	1.4	10.324	0	0.161
9/9/02	252	0.555	2.858	8.469	0	0.227
9/18/02	266	0	1.328	7.759	0	0.177
10/10/02	283	1.096	1.319	4.895	0	1.15
4/2/03	92	0	0	0.014	0	0
4/24/03	114	0	0	0	0	0
5/15/03	135	0.188	0.252	0	0	0
6/3/03	154	0.168	1.303	0	0	0
6/18/03	169	0	0.885	0.078	0	0.003
7/2/03	183	1.152	1.878	0	0	0.002
7/14/03	195	1.232	1.862	0.86	0	0.003
7/28/03	209	0.924	1.322	10.842	0	0.252
