site,fullrep,species,uevent,totbit,totmsbit,grpsiz,posi,indfeeding
ks,ks_2_2,Kyphosus vaigiensis ,"ks_2_2_3,8_3",9,5.511753108,1,3,1
ks,ks_6_2,Kyphosus vaigiensis ,"ks_6_2_4,11_2",5,2.483241406,1,4,1
rl,rl_1_2,Kyphosus vaigiensis ,"rl_1_2_3,11_2",11,8.195268087,1,3,3
rl,rl_1_2,Kyphosus vaigiensis ,"rl_1_2_3,7_1",11,8.195268087,1,3,1
rl,rl_1_2,Kyphosus vaigiensis ,"rl_1_2_3,7_2",9,6.705219344,1,3,1
rl,rl_1_2,Kyphosus vaigiensis ,"rl_1_2_3,7_3",4,2.980097486,1,3,1
rl,rl_1_2,Scarus ghobban ,"rl_1_2_1,2_2",1,0.749395931,1,1,1
rl,rl_1_2,Scarus ghobban ,"rl_1_2_2,10_1",4,2.49290093,1,2,1
rl,rl_1_2,Scarus ghobban ,"rl_1_2_3,7_4",1,0.623225232,1,3,1
rl,rl_3_1,Scarus ghobban ,"rl_3_1_3,9_1",3,1.869675697,1,3,1
rl,rl_7_2,Scarus ghobban ,"rl_7_2_1,9_1",2,1.246450465,1,1,1
rl,rl_7_2,Scarus ghobban ,"rl_7_2_1,9_2",4,2.49290093,1,1,1
rl,rl_7_2,Scarus ghobban ,"rl_7_2_3,3_6",1,0.818455115,1,3,1
ks,ks_2_2,Scarus rivulatus,"ks_2_2_1,13_3",4,2.114194409,1,1,1
ks,ks_2_2,Scarus rivulatus,"ks_2_2_2,12_2",1,0.470357004,1,2,1
ks,ks_6_1,Scarus rivulatus,"ks_6_1_2,12_1",5,1.403355469,1,2,1
ks,ks_8_1,Scarus rivulatus,"ks_8_1_1,11_1",3,0.966016938,1,1,1
ks,ks_8_1,Scarus rivulatus,"ks_8_1_3,9_1",5,1.403355469,1,3,1
ks,ks_8_1,Scarus rivulatus,"ks_8_1_4,7_1",4,2.365700355,1,4,1
ks,ks_8_2,Siganus  punctatus,"ks_8_2_3,12_1",2,0.507244671,1,3,1
ks,ks_2_1,Siganus canaliculatus,"ks_2_1_2,4_1",3,0.843941124,1,2,1
ks,ks_2_1,Siganus canaliculatus,"ks_2_1_3,3_1",2,0.562627416,1,3,1
ks,ks_2_2,Siganus canaliculatus,"ks_2_2_4,3_1",4,1.125254832,1,4,1
ks,ks_6_1,Siganus canaliculatus,"ks_6_1_2,3_4",2,0.562627416,1,2,1
ks,ks_6_1,Siganus corallinus,"ks_6_1_3,5_1",3,0.762623267,1,3,1
ks,ks_2_1,Siganus javus,"ks_2_1_1,9_1",1,0.214336207,1,1,1
ks,ks_2_1,Siganus javus,"ks_2_1_3,4_1",4,0.857344827,1,3,1
ks,ks_4_1,Siganus javus,"ks_4_1_3,1_3",1,0.214336207,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,10_1",2,0.540426967,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,10_2",1,0.270213483,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,10_4",1,0.270213483,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,3_1",4,0.827981523,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,5_1",2,0.540426967,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,5_3",1,0.270213483,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,5_5",2,0.540426967,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,6_1",1,0.206995381,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,6_2",5,1.034976904,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_1,8_1",1,0.206995381,1,1,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,10_1",3,0.81064045,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,10_3",3,0.81064045,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,12_1",3,0.711563396,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,12_2",2,0.474375597,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,12_3",3,0.711563396,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,13_2",2,0.540426967,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,13_3",1,0.270213483,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,3_2",2,0.474375597,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,3_3",1,0.237187799,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,5_1",4,1.080853933,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,6_2",2,0.540426967,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,6_4",3,0.81064045,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,6_6",3,0.81064045,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,9_1",1,0.237187799,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,9_2",2,0.474375597,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_2,9_3",1,0.237187799,1,2,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,1_1",3,0.620986142,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,11_1",2,0.540426967,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,9_1",1,0.237187799,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,9_2",1,0.237187799,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,9_3",3,0.711563396,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_3,9_4",5,1.185938993,1,3,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,10_1",1,0.270213483,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,10_2",3,0.81064045,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,10_3",1,0.270213483,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,10_4",1,0.270213483,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,11_1",2,0.540426967,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,11_2",1,0.270213483,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,11_4",2,0.540426967,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,13_1",1,0.270213483,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,13_3",3,0.81064045,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,5_1",3,0.620986142,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,7_1",1,0.237187799,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,7_2",3,0.711563396,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,7_3",5,1.351067417,1,4,1
ks,ks_2_1,Siganus virgatus ,"ks_2_1_4,9_2",2,0.540426967,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,11_1",1,0.270213483,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,11_3",1,0.270213483,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,3_1",2,0.413990762,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,3_2",1,0.206995381,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,3_4",2,0.413990762,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,4_2",3,0.81064045,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,4_3",4,1.080853933,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,4_6",1,0.270213483,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,5_1",3,0.81064045,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,5_2",2,0.540426967,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,5_3",7,1.891494383,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,5_5",3,0.81064045,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_1,8_2",3,0.81064045,1,1,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,10_3",9,2.43192135,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,11_2",8,2.161707867,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,11_3",3,0.81064045,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,13_1",3,0.81064045,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,13_3",7,1.891494383,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,3_4",1,0.270213483,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,3_5",1,0.270213483,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,6_4",2,0.540426967,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,6_5",1,0.270213483,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,7_1",1,0.270213483,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,7_2",4,1.080853933,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,8_1",3,0.81064045,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,8_2",2,0.540426967,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,8_5",3,0.81064045,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,9_1",1,0.270213483,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_2,9_2",2,0.540426967,1,2,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,13_1",1,0.270213483,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,13_2",6,1.6212809,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,3_1",3,0.81064045,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_1",3,0.81064045,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_2",5,1.351067417,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_4",3,0.81064045,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_5",1,0.270213483,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_7",6,1.6212809,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,5_8",2,0.540426967,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,7_3",6,1.6212809,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,9_2",5,1.351067417,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_3,9_5",1,0.270213483,1,3,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,10_1",3,0.81064045,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,11_1",4,1.080853933,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,11_2",3,0.81064045,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,11_4",12,3.2425618,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,11_5",6,1.6212809,1,4,1
ks,ks_2_2,Siganus virgatus ,"ks_2_2_4,5_1",3,0.81064045,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_1,4_1",3,0.81064045,1,1,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_1,8_1",4,1.080853933,1,1,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,10_1",6,1.6212809,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,12_1",2,0.540426967,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,12_2",4,1.080853933,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,12_3",1,0.270213483,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,12_4",6,1.6212809,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,12_5",5,1.351067417,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,13_2",2,0.540426967,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,2_1",9,2.43192135,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,2_2",3,0.81064045,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,2_3",6,1.6212809,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,4_3",1,0.270213483,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,6_1",4,1.080853933,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,6_2",3,0.81064045,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,6_3",2,0.540426967,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,6_5",4,1.080853933,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,6_6",7,1.891494383,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_2,8_2",4,1.080853933,1,2,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,1_1",4,1.080853933,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,1_2",8,2.161707867,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,10_1",5,1.351067417,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,10_4",3,0.81064045,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,11_3",4,1.080853933,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,3_3",9,2.43192135,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,4_2",3,0.81064045,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,5_1",2,0.540426967,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,5_2",5,1.351067417,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,5_4",2,0.540426967,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,7_2",2,0.540426967,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,8_1",1,0.270213483,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_3,8_2",6,1.6212809,1,3,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,1_1",5,1.351067417,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,10_1",7,1.891494383,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,11_1",3,0.81064045,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,11_2",2,0.540426967,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,5_2",4,1.080853933,1,4,1
ks,ks_4_1,Siganus virgatus ,"ks_4_1_4,6_3",4,1.080853933,1,4,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_1,10_1",4,1.080853933,1,1,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_2,11_2",4,1.080853933,1,2,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_2,2_1",2,0.540426967,1,2,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_2,2_2",5,1.351067417,1,2,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_2,3_1",1,0.270213483,1,2,1
ks,ks_4_2,Siganus virgatus ,"ks_4_2_2,3_3",3,0.81064045,1,2,1
