site,fullrep,posi,fullreppos,allfishbite,allfishmsbite,svbite,svmsbite,kvbite,kvmsbite,camtime,allbrate,allmsbrate,svbrate,svmsbrate,kvbrate,kvmsbrate,svmsbrateR
ks,ks_2_1,1,ks_2_1_1,36,8.511337588,25,6.059937955,0,0,4.240277778,8.49,2.01,5.9,1.43,0,0,1
ks,ks_2_1,2,ks_2_1_2,76,19.49128587,70,17.80340362,0,0,4.269722222,17.8,4.57,16.39,4.17,0,0,4
ks,ks_2_1,3,ks_2_1_3,37,9.030868352,20,4.851332827,0,0,4.219722222,8.77,2.14,4.74,1.15,0,0,1
ks,ks_2_1,4,ks_2_1_4,67,17.27965085,58,15.35062499,0,0,4.253055556,15.75,4.06,13.64,3.61,0,0,4
ks,ks_2_2,1,ks_2_2_1,114,33.61452951,90,23.93990489,0,0,4.19,27.21,8.02,21.48,5.71,0,0,6
ks,ks_2_2,2,ks_2_2_2,231,64.60571324,188,50.80013487,0,0,4.196944444,55.04,15.39,44.79,12.1,0,0,12
ks,ks_2_2,3,ks_2_2_3,201,71.24717215,143,38.64052812,38,23.27184646,4.214166667,47.7,16.91,33.93,9.17,9.02,5.52,9
ks,ks_2_2,4,ks_2_2_4,184,55.92334535,162,43.7745843,18,11.02350622,4.221944444,43.58,13.25,38.37,10.37,4.26,2.61,10
ks,ks_4_1,1,ks_4_1_1,7,1.891494383,7,1.891494383,0,0,4.221944444,1.66,0.45,1.66,0.45,0,0,1
ks,ks_4_1,2,ks_4_1_2,242,64.04668934,203,54.85333712,0,0,4.151388889,58.29,15.43,48.9,13.21,0,0,13
ks,ks_4_1,3,ks_4_1_3,193,49.35733845,143,38.64052812,0,0,4.110277778,46.96,12.01,34.79,9.4,0,0,9
ks,ks_4_1,4,ks_4_1_4,138,36.65728168,120,32.425618,0,0,4.165277778,33.13,8.8,28.81,7.78,0,0,8
ks,ks_4_2,1,ks_4_2_1,4,1.080853933,4,1.080853933,0,0,4.092222222,0.98,0.26,0.98,0.26,0,0,1
ks,ks_4_2,2,ks_4_2_2,37,8.77615366,25,6.755337083,0,0,4.134722222,8.95,2.12,6.05,1.63,0,0,2
ks,ks_4_2,3,ks_4_2_3,107,28.98604599,100,27.02134833,0,0,4.146388889,25.81,6.99,24.12,6.52,0,0,7
ks,ks_4_2,4,ks_4_2_4,43,11.41555558,41,11.07875282,0,0,4.124444444,10.43,2.77,9.94,2.69,0,0,3
ks,ks_6_1,1,ks_6_1_1,120,29.3639289,86,23.23835957,0,0,4.291111111,27.96,6.84,20.04,5.42,0,0,5
