Site,Station,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to
Bathurst,MP01,4/11/14,13/3/15,14/12/14,19/12/14,N/A,N/A
Bathurst,MP02,2/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP03,4/11/14,12/3/15,10/1/15,27/2/15,N/A,N/A
Bathurst,MP04,2/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP05,3/11/14,13/3/15,20/12/14,13/3/15,N/A,N/A
Bathurst,MP06,2/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP07,3/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP08,2/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP09,3/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP10,2/11/14,13/3/15,2/11/14,18/11/14,N/A,N/A
Bathurst,MP11,3/11/14,13/3/15,23/1/15,7/2/15,N/A,N/A
Bathurst,MP12,2/11/14,13/3/15,12/12/14,18/12/14,N/A,N/A
Bathurst,MP13,3/11/14,13/3/15,26/1/15,27/2/15,N/A,N/A
Bathurst,MP14,4/11/14,13/3/15,3/12/14,14/12/14,N/A,N/A
Bathurst,MP15,3/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP16,3/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP17,4/11/14,4/3/15,18/12/14,27/2/15,N/A,N/A
Bathurst,MP18,3/11/14,13/3/15,26/1/15,7/2/15,N/A,N/A
Bathurst,MP19,4/11/14,13/3/15,N/A,N/A,N/A,N/A
Bathurst,MP20,4/11/14,13/3/15,28/11/14,1/12/14,N/A,N/A
Capertee,Cam1,1/5/14,18/8/14,N/A,N/A,N/A,N/A
Capertee,Cam2,1/5/14,16/8/14,N/A,N/A,N/A,N/A
Capertee,Cam3,1/5/14,19/9/14,N/A,N/A,N/A,N/A
Capertee,Cam4,1/7/14,24/10/14,N/A,N/A,N/A,N/A
Capertee,Cam5,1/5/14,18/9/14,N/A,N/A,N/A,N/A
Capertee,Cam6,1/5/14,19/9/14,N/A,N/A,N/A,N/A
Capertee,Cam7,29/4/14,8/9/14,N/A,N/A,N/A,N/A
Capertee,Cam8,1/5/14,7/9/14,N/A,N/A,N/A,N/A
Capertee,Cam9,29/4/14,16/9/14,N/A,N/A,N/A,N/A
Capertee,Cam10,1/5/14,17/9/14,N/A,N/A,N/A,N/A
Capertee,Cam11,1/5/14,17/9/14,N/A,N/A,N/A,N/A
Capertee,Cam12,1/5/14,13/9/14,N/A,N/A,N/A,N/A
Capertee,Cam13,28/5/14,1/7/14,N/A,N/A,N/A,N/A
Capertee,Cam14,29/4/14,11/9/14,N/A,N/A,N/A,N/A
Capertee,Cam15,29/4/14,15/9/14,N/A,N/A,N/A,N/A
Capertee,Cam16,1/5/14,13/9/14,N/A,N/A,N/A,N/A
Capertee,Cam17,1/5/14,17/9/14,N/A,N/A,N/A,N/A
Capertee,Cam18,1/5/14,18/9/14,N/A,N/A,N/A,N/A
Capertee,Cam19,30/5/14,25/9/14,N/A,N/A,N/A,N/A
Capertee,Cam20,22/5/14,18/8/14,N/A,N/A,N/A,N/A
Capertee,Cam21,1/5/14,18/9/14,N/A,N/A,N/A,N/A
Capertee,Cam22,1/5/14,30/8/14,N/A,N/A,N/A,N/A
Capertee,Cam23,22/5/14,30/8/14,N/A,N/A,N/A,N/A
Capertee,Cam24,1/5/14,18/9/14,N/A,N/A,N/A,N/A
Capertee,Cam25,22/5/14,22/8/14,N/A,N/A,N/A,N/A
Capertee,Cam26,1/5/14,19/9/14,N/A,N/A,N/A,N/A
Capertee,Cam27,1/5/14,12/9/14,N/A,N/A,N/A,N/A
Capertee,Cam28,1/5/14,29/6/14,N/A,N/A,N/A,N/A
Capertee,Cam29,1/7/14,24/9/14,N/A,N/A,N/A,N/A
Capertee,Cam30,1/5/14,7/9/14,N/A,N/A,N/A,N/A
Cobar,Station1,25/5/16,11/10/16,25/7/16,11/10/16,N/A,N/A
Cobar,Station2,25/5/16,11/10/16,2/10/16,11/10/16,N/A,N/A
Cobar,Station3,26/5/16,11/10/16,24/6/16,17/7/16,11/8/16,11/10/16
Cobar,Station4,26/5/16,11/10/16,15/6/16,17/7/16,26/8/16,11/10/16
Cobar,Station5,26/5/16,11/10/16,14/6/16,16/7/16,7/8/16,11/10/16
Cobar,Station6,26/5/16,11/10/16,15/8/16,11/10/16,N/A,N/A
Cobar,Station7,26/5/16,11/10/16,6/7/16,16/7/16,25/7/16,11/10/16
Cobar,Station8,26/5/16,11/10/16,6/9/16,16/7/16,10/8/16,11/10/16
Cobar,Station9,16/7/16,11/10/16,24/7/16,11/10/16,N/A,N/A
Cobar,Station10,16/7/16,11/10/16,8/8/16,11/10/16,N/A,N/A
Cobar,Station11,16/7/16,11/10/16,29/9/16,11/10/16,N/A,N/A
Cobar,Station12,16/7/16,11/10/16,26/8/16,11/10/16,N/A,N/A
Cobar,Station13,20/7/16,11/10/16,3/8/16,11/10/16,N/A,N/A
Cobar,Station14,17/7/16,11/10/16,8/8/16,11/10/16,N/A,N/A
Cobar,Station13,17/7/16,11/10/16,28/7/16,11/10/16,N/A,N/A
Cobar,Station14,17/7/16,11/10/16,22/7/16,11/10/16,N/A,N/A
Mourachan,MTA2,18/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,MTA3,18/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,MBS3,23/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,YBB2,20/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YBB3,20/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YBO2,24/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YBO3,24/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,MBR1,18/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,MBR2,18/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,MBR3,18/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,MDC2,18/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,MDC3,18/11/19,4/9/20,N/A,N/A,N/A,N/A
Mourachan,WDE1,22/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WDE2,22/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WDE3,22/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WEN2,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WEN3,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,KFE2,22/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,KFE3,22/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WGR1,23/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WGR2,18/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WGR3,18/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WNE2,21/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WNE3,21/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YQS1,24/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YQS2,20/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YQS3,20/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,KSP3,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WTH1,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WTH2,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,WTH3,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YWR2,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Mourachan,YWR3,16/11/19,5/9/20,N/A,N/A,N/A,N/A
Evelyn_downs,Big_Swamp17,9/7/17,14/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Big_Swamp17,9/7/17,13/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Big_Swamp17,9/7/17,16/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Boomerang17,18/6/17,1/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Boomerang17,18/6/17,22/6/17,N/A,N/A,N/A,N/A
Evelyn_downs,Boomerang17,18/6/17,7/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Bransons_Well16,1/7/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Bransons_Well16,1/7/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Bransons_Well16,1/7/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Canegrass17,18/6/17,7/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Canegrass17,18/6/17,7/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Canegrass17,18/6/17,24/6/17,N/A,N/A,N/A,N/A
Evelyn_downs,Charlies17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Charlies17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Charlies17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills17,25/6/17,3/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills17,3/7/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Copper_Hills17,25/6/17,7/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Darcys16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Darcys16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Darcys16,30/6/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill16,28/6/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill16,28/6/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill16,28/6/16,7/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill17,1/7/17,14/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill17,1/7/17,14/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,England_Hill17,1/7/17,14/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Goeffries17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Goeffries17,25/6/17,8/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Goeffries17,25/6/17,3/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,House_Dam17,23/6/17,6/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,House_Dam17,23/6/17,1/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,House_Dam17,23/6/17,3/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED16,1/7/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED16,1/7/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED16,1/7/16,6/7/16,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED17,24/6/17,25/6/17,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED17,25/6/17,14/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED17,4/7/17,13/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_ED17,24/6/17,13/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Lawrence_MW17,4/7/17,11/7/17,N/A,N/A,N/A,N/A
Evelyn_downs,Michaels_waterhole17,16/6/17,23/6/17,N/A,N/A,N/A,N/A
