treatment,Site,camera_placement,Cover,Camera,eventID,Cautious,Confident
Absent,2,Resource,High,MP01,Bathurst-Fox_event_382,3.00,0.00
Absent,2,Resource,High,MP02,Bathurst-Fox_event_375,0.00,1.00
Absent,2,Resource,High,MP02,Bathurst-Fox_event_464,2.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_1,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_2,2.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_260,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_268,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_278,3.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_295,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_299,0.00,2.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_3,0.00,1.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_303,0.00,1.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_307,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_309,2.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_332,0.00,1.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_339,0.00,3.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_342,0.00,1.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_369,0.00,2.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_4,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_409,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_5,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_507,0.00,2.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_509,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_511,1.00,1.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_518,2.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_524,1.00,0.00
Absent,2,Hotspot,High,MP03,Bathurst-Fox_event_534,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_343,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_413,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_421,2.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_425,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_437,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_465,1.00,0.00
Absent,2,Hotspot,High,MP04,Bathurst-Fox_event_530,2.00,0.00
Absent,2,Hotspot,High,MP05,Bathurst-Fox_event_219,1.00,0.00
Absent,2,Hotspot,High,MP05,Bathurst-Fox_event_231,3.00,0.00
Absent,2,Hotspot,High,MP05,Bathurst-Fox_event_256,1.00,0.00
Absent,2,Hotspot,High,MP06,Bathurst-Fox_event_348,0.00,1.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_326,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_350,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_351,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_355,2.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_368,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_371,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_418,2.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_424,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_433,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_435,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_438,1.00,1.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_440,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_442,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_443,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_444,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_445,2.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_450,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_454,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_456,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_462,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_479,11.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_485,1.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_489,0.00,3.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_500,5.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_512,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_519,3.00,0.00
Absent,2,Resource,High,MP07,Bathurst-Fox_event_532,2.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_237,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_280,0.00,1.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_283,0.00,3.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_286,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_296,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_308,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_378,3.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_403,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_428,3.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_463,0.00,1.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_486,1.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_497,0.00,4.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_514,6.00,0.00
Absent,2,Resource,High,MP08,Bathurst-Fox_event_536,3.00,0.00
Absent,2,Hotspot,High,MP09,Bathurst-Fox_event_303,1.00,0.00
Absent,2,Hotspot,High,MP09,Bathurst-Fox_event_306,3.00,0.00
Absent,2,Hotspot,High,MP09,Bathurst-Fox_event_319,1.00,0.00
Absent,2,Hotspot,High,MP10,Bathurst-Fox_event_289,1.00,0.00
Absent,2,Hotspot,High,MP10,Bathurst-Fox_event_526,2.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_229,3.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_234,1.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_240,1.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_273,0.00,1.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_333,2.00,1.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_334,1.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_341,1.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_405,2.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_459,2.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_469,1.00,0.00
Absent,2,Hotspot,High,MP11,Bathurst-Fox_event_470,3.00,0.00
