Status,Site,Station,Species,treatment,cover,DateTimeOriginal,Date,Time,nTime,Cam_days,sun_time_minutes
Persecuted,Bathurst,MP01,Fox,Absent,High,1/1/15 6:40,1/1/15,6:40:15,0.28,129,0.3
Persecuted,Bathurst,MP01,Fox,Absent,High,1/1/15 6:40,1/1/15,6:40:17,0.28,129,0.3
Persecuted,Bathurst,MP01,Fox,Absent,High,1/1/15 6:40,1/1/15,6:40:20,0.28,129,0.3
Persecuted,Bathurst,MP02,Fox,Absent,High,13/11/14 0:55,13/11/14,0:55:23,0.04,131,0.05
Persecuted,Bathurst,MP02,Fox,Absent,High,30/12/14 7:03,30/12/14,7:03:08,0.29,131,0.32
Persecuted,Bathurst,MP02,Fox,Absent,High,30/12/14 7:03,30/12/14,7:03:11,0.29,131,0.32
Persecuted,Bathurst,MP02,Fox,Absent,High,14/2/15 19:41,14/2/15,19:41:36,0.82,131,0.78
Persecuted,Bathurst,MP02,Fox,Absent,High,14/2/15 19:41,14/2/15,19:41:40,0.82,131,0.78
Persecuted,Bathurst,MP03,Fox,Absent,High,19/11/14 23:59,19/11/14,23:59:46,1,128,0
Persecuted,Bathurst,MP03,Fox,Absent,High,19/11/14 23:59,19/11/14,23:59:49,1,128,0
Persecuted,Bathurst,MP03,Fox,Absent,High,19/11/14 23:59,19/11/14,23:59:53,1,128,0
Persecuted,Bathurst,MP03,Fox,Absent,High,23/11/14 0:33,23/11/14,0:33:55,0.02,128,0.03
Persecuted,Bathurst,MP03,Fox,Absent,High,23/11/14 0:33,23/11/14,0:33:58,0.02,128,0.03
Persecuted,Bathurst,MP03,Fox,Absent,High,23/11/14 0:34,23/11/14,0:34:01,0.02,128,0.03
Persecuted,Bathurst,MP03,Fox,Absent,High,10/12/14 0:40,10/12/14,0:40:02,0.03,128,0.03
Persecuted,Bathurst,MP03,Fox,Absent,High,19/12/14 1:32,19/12/14,1:32:36,0.06,128,0.07
Persecuted,Bathurst,MP03,Fox,Absent,High,19/12/14 1:32,19/12/14,1:32:39,0.06,128,0.07
Persecuted,Bathurst,MP03,Fox,Absent,High,9/12/14 1:43,9/12/14,1:43:42,0.07,128,0.08
Persecuted,Bathurst,MP03,Fox,Absent,High,9/12/14 1:43,9/12/14,1:43:45,0.07,128,0.08
Persecuted,Bathurst,MP03,Fox,Absent,High,9/12/14 1:43,9/12/14,1:43:49,0.07,128,0.08
Persecuted,Bathurst,MP03,Fox,Absent,High,5/3/15 3:39,5/3/15,3:39:13,0.15,128,0.14
Persecuted,Bathurst,MP03,Fox,Absent,High,5/3/15 3:39,5/3/15,3:39:16,0.15,128,0.14
Persecuted,Bathurst,MP03,Fox,Absent,High,5/3/15 3:39,5/3/15,3:39:20,0.15,128,0.14
Persecuted,Bathurst,MP03,Fox,Absent,High,9/3/15 3:31,9/3/15,3:31:34,0.15,128,0.14
Persecuted,Bathurst,MP03,Fox,Absent,High,4/3/15 4:06,4/3/15,4:06:56,0.17,128,0.16
Persecuted,Bathurst,MP03,Fox,Absent,High,16/12/14 3:27,16/12/14,3:27:15,0.14,128,0.17
Persecuted,Bathurst,MP03,Fox,Absent,High,3/3/15 4:51,3/3/15,4:51:16,0.2,128,0.19
Persecuted,Bathurst,MP03,Fox,Absent,High,3/3/15 4:51,3/3/15,4:51:19,0.2,128,0.19
Persecuted,Bathurst,MP03,Fox,Absent,High,4/3/15 5:02,4/3/15,5:02:27,0.21,128,0.2
Persecuted,Bathurst,MP03,Fox,Absent,High,6/12/14 4:03,6/12/14,4:03:56,0.17,128,0.21
Persecuted,Bathurst,MP03,Fox,Absent,High,15/1/15 4:40,15/1/15,4:40:33,0.19,128,0.21
Persecuted,Bathurst,MP03,Fox,Absent,High,12/1/11 7:59,12/1/11,7:59:20,0.33,128,0.35
Persecuted,Bathurst,MP03,Fox,Absent,High,6/1/11 8:16,6/1/11,8:16:08,0.34,128,0.35
Persecuted,Bathurst,MP03,Fox,Absent,High,1/1/11 10:12,1/1/11,10:12:14,0.43,128,0.43
Persecuted,Bathurst,MP03,Fox,Absent,High,8/1/11 10:34,8/1/11,10:34:40,0.44,128,0.44
Persecuted,Bathurst,MP03,Fox,Absent,High,1/1/11 11:23,1/1/11,11:23:43,0.47,128,0.46
Persecuted,Bathurst,MP03,Fox,Absent,High,1/1/11 11:23,1/1/11,11:23:47,0.47,128,0.46
Persecuted,Bathurst,MP03,Fox,Absent,High,16/12/14 20:48,16/12/14,20:48:57,0.87,128,0.83
Persecuted,Bathurst,MP03,Fox,Absent,High,5/12/14 20:48,5/12/14,20:48:01,0.87,128,0.83
Persecuted,Bathurst,MP03,Fox,Absent,High,5/12/14 20:48,5/12/14,20:48:05,0.87,128,0.83
Persecuted,Bathurst,MP03,Fox,Absent,High,18/12/14 20:57,18/12/14,20:57:33,0.87,128,0.83
