species,tank,cage,individual,treatment,act.mm,head.width.mm,fish,act.avg,unique.ind,unique.cage
ensi,1,1,1,free.fish,317,2.666454,-1,385.8571429,1,1
ensi,1,1,2,free.fish,493,2.794158,-1,385.8571429,2,1
ensi,1,1,3,free.fish,411,2.567696,-1,385.8571429,3,1
ensi,1,1,4,free.fish,383,2.113504,-1,385.8571429,4,1
ensi,1,1,5,free.fish,347,2.533282,-1,385.8571429,5,1
ensi,1,1,6,free.fish,363,2.397829,-1,385.8571429,6,1
ensi,1,1,7,free.fish,408,2.899188,-1,385.8571429,7,1
ensi,1,1,8,free.fish,374,2.124909,-1,385.8571429,8,1
ensi,1,1,9,free.fish,397,2.678764,-1,385.8571429,9,1
ensi,1,1,10,free.fish,301,2.555624,-1,385.8571429,10,1
ensi,1,1,11,free.fish,406,2.524183,-1,385.8571429,11,1
ensi,1,1,12,free.fish,362,2.297021,-1,385.8571429,12,1
ensi,1,1,13,free.fish,444,2.935247,-1,385.8571429,13,1
ensi,1,1,14,free.fish,396,3.123583,-1,385.8571429,14,1
ensi,1,2,1,free.fish,310,2.90403,-1,390,15,2
ensi,1,2,2,free.fish,333,2.148138,-1,390,16,2
ensi,1,2,3,free.fish,408,2.650607,-1,390,17,2
ensi,1,2,4,free.fish,401,2.021459,-1,390,18,2
ensi,1,2,5,free.fish,488,2.800532,-1,390,19,2
ensi,1,2,6,free.fish,408,2.755018,-1,390,20,2
ensi,1,2,7,free.fish,339,2.850564,-1,390,21,2
ensi,1,2,8,free.fish,297,2.112038,-1,390,22,2
ensi,1,2,9,free.fish,395,2.391515,-1,390,23,2
ensi,1,2,10,free.fish,445,2.080985,-1,390,24,2
ensi,1,2,11,free.fish,459,2.810393,-1,390,25,2
ensi,1,2,12,free.fish,410,2.202193,-1,390,26,2
ensi,1,2,13,free.fish,308,1.784483,-1,390,27,2
ensi,1,2,14,free.fish,448,2.084055,-1,390,28,2
ensi,1,2,15,free.fish,401,2.158459,-1,390,29,2
ensi,1,3,1,free.fish,257,2.291506,-1,312.5,30,3
ensi,1,3,2,free.fish,474,2.783967,-1,312.5,31,3
ensi,1,3,3,free.fish,249,2.090175,-1,312.5,32,3
ensi,1,3,4,free.fish,331,2.112664,-1,312.5,33,3
ensi,1,3,5,free.fish,337,2.343164,-1,312.5,34,3
ensi,1,3,6,free.fish,232,2.687412,-1,312.5,35,3
ensi,1,3,7,free.fish,236,1.701633,-1,312.5,36,3
ensi,1,3,8,free.fish,390,2.038138,-1,312.5,37,3
ensi,1,3,9,free.fish,398,2.377312,-1,312.5,38,3
ensi,1,3,10,free.fish,221,2.087885,-1,312.5,39,3
ensi,2,1,1,free.fish,366,2.675581,-1,348.6666667,40,4
ensi,2,1,2,free.fish,262,2.613156,-1,348.6666667,41,4
ensi,2,1,3,free.fish,496,2.061048,-1,348.6666667,42,4
ensi,2,1,4,free.fish,397,2.162664,-1,348.6666667,43,4
ensi,2,1,5,free.fish,382,2.468707,-1,348.6666667,44,4
ensi,2,1,6,free.fish,313,2.686244,-1,348.6666667,45,4
ensi,2,1,7,free.fish,346,1.917345,-1,348.6666667,46,4
ensi,2,1,8,free.fish,404,2.076064,-1,348.6666667,47,4
ensi,2,1,9,free.fish,391,2.677959,-1,348.6666667,48,4
ensi,2,1,10,free.fish,383,2.600889,-1,348.6666667,49,4
ensi,2,1,11,free.fish,308,1.823101,-1,348.6666667,50,4
ensi,2,1,12,free.fish,136,NA,-1,348.6666667,51,4
ensi,2,3,1,free.fish,485,2.509911,-1,392.125,52,5
ensi,2,3,2,free.fish,355,2.672505,-1,392.125,53,5
ensi,2,3,3,free.fish,466,2.064776,-1,392.125,54,5
ensi,2,3,4,free.fish,389,2.358464,-1,392.125,55,5
ensi,2,3,5,free.fish,277,2.213803,-1,392.125,56,5
ensi,2,3,6,free.fish,416,2.137337,-1,392.125,57,5
ensi,2,3,7,free.fish,376,2.569331,-1,392.125,58,5
ensi,2,3,8,free.fish,422,1.797797,-1,392.125,59,5
ensi,2,3,9,free.fish,476,2.527941,-1,392.125,60,5
ensi,2,3,10,free.fish,351,3.03231,-1,392.125,61,5
ensi,2,3,11,free.fish,400,2.036147,-1,392.125,62,5
ensi,2,3,12,free.fish,465,2.47516,-1,392.125,63,5
ensi,2,3,13,free.fish,310,2.517643,-1,392.125,64,5
ensi,2,3,14,free.fish,442,2.079811,-1,392.125,65,5
ensi,2,3,15,free.fish,376,2.044505,-1,392.125,66,5
ensi,2,3,16,free.fish,268,2.082898,-1,392.125,67,5
ensi,2,2,1,free.fish,262,2.646165,-1,355.2,68,6
ensi,2,2,2,free.fish,480,1.914464,-1,355.2,69,6
ensi,2,2,3,free.fish,445,2.100861,-1,355.2,70,6
ensi,2,2,4,free.fish,483,2.67988,-1,355.2,71,6
ensi,2,2,5,free.fish,335,1.930209,-1,355.2,72,6
ensi,2,2,6,free.fish,394,2.585572,-1,355.2,73,6
ensi,2,2,7,free.fish,143,2.056772,-1,355.2,74,6
ensi,2,2,8,free.fish,351,1.777384,-1,355.2,75,6
ensi,2,2,9,free.fish,357,1.973088,-1,355.2,76,6
ensi,2,2,10,free.fish,354,2.142446,-1,355.2,77,6
ensi,2,2,11,free.fish,384,2.917792,-1,355.2,78,6
ensi,2,2,12,free.fish,381,1.95074,-1,355.2,79,6
ensi,2,2,13,free.fish,317,2.758763,-1,355.2,80,6
ensi,2,2,14,free.fish,253,2.120056,-1,355.2,81,6
ensi,2,2,15,free.fish,389,2.018369,-1,355.2,82,6
ensi,3,1,1,free.fish,286,1.754068,-1,324.2727273,83,7
ensi,3,1,2,free.fish,413,2.521965,-1,324.2727273,84,7
ensi,3,1,3,free.fish,417,2.48976,-1,324.2727273,85,7
ensi,3,1,4,free.fish,281,2.96557,-1,324.2727273,86,7
ensi,3,1,5,free.fish,371,2.635723,-1,324.2727273,87,7
ensi,3,1,6,free.fish,313,2.501306,-1,324.2727273,88,7
ensi,3,1,7,free.fish,265,1.970217,-1,324.2727273,89,7
ensi,3,1,8,free.fish,146,2.222593,-1,324.2727273,90,7
ensi,3,1,9,free.fish,356,2.56104,-1,324.2727273,91,7
ensi,3,1,10,free.fish,284,2.100775,-1,324.2727273,92,7
ensi,3,1,11,free.fish,435,1.537893,-1,324.2727273,93,7
ensi,3,3,1,free.fish,350,2.697732,-1,390.6923077,94,8
ensi,3,3,2,free.fish,326,2.148429,-1,390.6923077,95,8
ensi,3,3,3,free.fish,217,2.635959,-1,390.6923077,96,8
ensi,3,3,4,free.fish,422,2.582091,-1,390.6923077,97,8
ensi,3,3,5,free.fish,434,2.512396,-1,390.6923077,98,8
ensi,3,3,6,free.fish,494,1.695065,-1,390.6923077,99,8
ensi,3,3,7,free.fish,389,1.917412,-1,390.6923077,100,8
ensi,3,3,8,free.fish,396,2.17218,-1,390.6923077,101,8
ensi,3,3,9,free.fish,402,2.423842,-1,390.6923077,102,8
ensi,3,3,10,free.fish,504,1.388944,-1,390.6923077,103,8
ensi,3,3,11,free.fish,494,2.613226,-1,390.6923077,104,8
ensi,3,3,12,free.fish,369,2.138333,-1,390.6923077,105,8
ensi,3,3,13,free.fish,282,1.761964,-1,390.6923077,106,8
ensi,3,2,1,free.fish,355,2.061611,-1,349.0714286,107,9
ensi,3,2,2,free.fish,415,2.085386,-1,349.0714286,108,9
ensi,3,2,3,free.fish,425,2.024411,-1,349.0714286,109,9
ensi,3,2,4,free.fish,409,2.19753,-1,349.0714286,110,9
ensi,3,2,5,free.fish,272,2.45771,-1,349.0714286,111,9
ensi,3,2,8,free.fish,296,2.202733,-1,349.0714286,112,9
ensi,3,2,9,free.fish,326,2.643356,-1,349.0714286,113,9
ensi,3,2,10,free.fish,321,2.120933,-1,349.0714286,114,9
ensi,3,2,11,free.fish,229,1.653449,-1,349.0714286,115,9
ensi,3,2,12,free.fish,403,2.393612,-1,349.0714286,116,9
ensi,3,2,13,free.fish,337,2.010436,-1,349.0714286,117,9
ensi,3,2,14,free.fish,223,2.470742,-1,349.0714286,118,9
ensi,3,2,15,free.fish,485,2.229895,-1,349.0714286,119,9
ensi,3,2,16,free.fish,391,1.697855,-1,349.0714286,120,9
ensi,4,1,1,free.fish,341,2.440799,-1,421.5333333,121,10
ensi,4,1,2,free.fish,512,2.848564,-1,421.5333333,122,10
ensi,4,1,3,free.fish,275,2.462227,-1,421.5333333,123,10
ensi,4,1,4,free.fish,412,2.428107,-1,421.5333333,124,10
ensi,4,1,5,free.fish,493,2.090514,-1,421.5333333,125,10
ensi,4,1,6,free.fish,399,2.032027,-1,421.5333333,126,10
ensi,4,1,7,free.fish,423,2.73508,-1,421.5333333,127,10
ensi,4,1,8,free.fish,426,2.604116,-1,421.5333333,128,10
ensi,4,1,9,free.fish,307,2.507987,-1,421.5333333,129,10
ensi,4,1,10,free.fish,515,2.575749,-1,421.5333333,130,10
ensi,4,1,11,free.fish,512,1.679183,-1,421.5333333,131,10
ensi,4,1,12,free.fish,387,2.72615,-1,421.5333333,132,10
ensi,4,1,13,free.fish,398,1.843895,-1,421.5333333,133,10
ensi,4,1,14,free.fish,596,1.671823,-1,421.5333333,134,10
ensi,4,1,15,free.fish,327,1.322579,-1,421.5333333,135,10
ensi,4,2,1,free.fish,373,2.609796,-1,348.7857143,136,11
ensi,4,2,2,free.fish,500,2.086719,-1,348.7857143,137,11
ensi,4,2,3,free.fish,344,2.287974,-1,348.7857143,138,11
ensi,4,2,4,free.fish,379,2.397984,-1,348.7857143,139,11
ensi,4,2,5,free.fish,353,2.351467,-1,348.7857143,140,11
ensi,4,2,6,free.fish,437,2.260992,-1,348.7857143,141,11
ensi,4,2,7,free.fish,360,2.621012,-1,348.7857143,142,11
ensi,4,2,8,free.fish,303,2.19001,-1,348.7857143,143,11
ensi,4,2,9,free.fish,445,2.548665,-1,348.7857143,144,11
ensi,4,2,10,free.fish,406,2.465295,-1,348.7857143,145,11
ensi,4,2,11,free.fish,123,1.971628,-1,348.7857143,146,11
ensi,4,2,12,free.fish,329,2.525381,-1,348.7857143,147,11
ensi,4,2,13,free.fish,392,1.904602,-1,348.7857143,148,11
ensi,4,2,14,free.fish,139,1.992649,-1,348.7857143,149,11
ensi,4,3,1,free.fish,394,2.72389,-1,366.0714286,150,12
ensi,4,3,2,free.fish,289,2.260497,-1,366.0714286,151,12
ensi,4,3,3,free.fish,350,1.832801,-1,366.0714286,152,12
ensi,4,3,4,free.fish,372,2.536512,-1,366.0714286,153,12
ensi,4,3,5,free.fish,404,2.546826,-1,366.0714286,154,12
ensi,4,3,6,free.fish,224,2.22392,-1,366.0714286,155,12
ensi,4,3,7,free.fish,484,2.308109,-1,366.0714286,156,12
ensi,4,3,8,free.fish,394,2.397305,-1,366.0714286,157,12
ensi,4,3,9,free.fish,406,2.243696,-1,366.0714286,158,12
ensi,4,3,10,free.fish,443,1.717435,-1,366.0714286,159,12
ensi,4,3,11,free.fish,280,1.558344,-1,366.0714286,160,12
ensi,4,3,12,free.fish,395,2.012704,-1,366.0714286,161,12
ensi,4,3,13,free.fish,344,1.528988,-1,366.0714286,162,12
ensi,4,3,14,free.fish,346,2.269143,-1,366.0714286,163,12
ensi,5,1,1,free.fish,435,2.468457,-1,361.5833333,164,13
ensi,5,1,2,free.fish,326,1.791713,-1,361.5833333,165,13
ensi,5,1,3,free.fish,158,2.465574,-1,361.5833333,166,13
ensi,5,1,4,free.fish,427,2.417996,-1,361.5833333,167,13
ensi,5,1,5,free.fish,477,2.534611,-1,361.5833333,168,13
ensi,5,1,6,free.fish,400,2.267025,-1,361.5833333,169,13
ensi,5,1,7,free.fish,472,2.607219,-1,361.5833333,170,13
ensi,5,1,8,free.fish,276,1.838315,-1,361.5833333,171,13
ensi,5,1,9,free.fish,428,2.125179,-1,361.5833333,172,13
ensi,5,1,10,free.fish,335,2.188006,-1,361.5833333,173,13
ensi,5,1,12,free.fish,387,1.819481,-1,361.5833333,174,13
ensi,5,1,13,free.fish,218,1.504743,-1,361.5833333,175,13
ensi,5,2,1,free.fish,509,2.671842,-1,415.4,176,14
ensi,5,2,2,free.fish,212,2.507802,-1,415.4,177,14
ensi,5,2,3,free.fish,477,1.643391,-1,415.4,178,14
ensi,5,2,4,free.fish,369,2.205185,-1,415.4,179,14
ensi,5,2,5,free.fish,384,2.788546,-1,415.4,180,14
ensi,5,2,6,free.fish,533,2.156484,-1,415.4,181,14
ensi,5,2,7,free.fish,489,2.513845,-1,415.4,182,14
ensi,5,2,8,free.fish,490,2.518766,-1,415.4,183,14
ensi,5,2,9,free.fish,414,2.486144,-1,415.4,184,14
ensi,5,2,10,free.fish,504,1.970063,-1,415.4,185,14
ensi,5,2,11,free.fish,439,2.474861,-1,415.4,186,14
ensi,5,2,12,free.fish,400,1.6715,-1,415.4,187,14
ensi,5,2,13,free.fish,406,2.651103,-1,415.4,188,14
ensi,5,2,14,free.fish,287,2.059185,-1,415.4,189,14
ensi,5,2,15,free.fish,318,1.676705,-1,415.4,190,14
ensi,5,3,1,free.fish,326,2.530422,-1,340.7142857,191,15
ensi,5,3,2,free.fish,305,2.044711,-1,340.7142857,192,15
ensi,5,3,4,free.fish,341,2.39924,-1,340.7142857,193,15
ensi,5,3,5,free.fish,267,1.475356,-1,340.7142857,194,15
ensi,5,3,6,free.fish,315,2.654031,-1,340.7142857,195,15
ensi,5,3,7,free.fish,362,2.04595,-1,340.7142857,196,15
ensi,5,3,8,free.fish,238,2.6692,-1,340.7142857,197,15
ensi,5,3,9,free.fish,431,2.085362,-1,340.7142857,198,15
ensi,5,3,10,free.fish,296,2.80344,-1,340.7142857,199,15
ensi,5,3,11,free.fish,433,2.036316,-1,340.7142857,200,15
ensi,5,3,12,free.fish,338,2.520061,-1,340.7142857,201,15
ensi,5,3,13,free.fish,309,2.756799,-1,340.7142857,202,15
ensi,5,3,14,free.fish,362,2.018013,-1,340.7142857,203,15
ensi,5,3,15,free.fish,371,1.804966,-1,340.7142857,204,15
ensi,5,3,16,free.fish,448,2.542867,-1,340.7142857,205,15
ensi,5,3,17,free.fish,367,2.524623,-1,340.7142857,206,15
ensi,5,3,18,free.fish,269,2.045012,-1,340.7142857,207,15
ensi,5,3,19,free.fish,365,2.045012,-1,340.7142857,208,15
ensi,5,3,20,free.fish,341,1.885562,-1,340.7142857,209,15
ensi,5,3,21,free.fish,311,2.21448,-1,340.7142857,210,15
ensi,5,3,22,free.fish,360,2.514191,-1,340.7142857,211,15
ensi,6,1,1,cage,476,2.051302,-1,376.6,1,16
ensi,6,1,2,cage,381,2.201466,-1,376.6,2,16
ensi,6,1,3,cage,404,2.360624,-1,376.6,3,16
ensi,6,1,4,cage,179,2.67833,-1,376.6,4,16
ensi,6,1,5,cage,573,2.800764,-1,376.6,5,16
ensi,6,1,6,cage,68,NA,-1,376.6,6,16
ensi,6,1,7,cage,377,2.342303,-1,376.6,7,16
ensi,6,1,8,cage,572,1.469518,-1,376.6,8,16
ensi,6,1,9,cage,463,2.077193,-1,376.6,9,16
ensi,6,1,10,cage,273,2.535687,-1,376.6,10,16
ensi,6,2,1,cage,279,NA,-1,324.5,11,17
ensi,6,2,2,cage,407,2.687073,-1,324.5,12,17
ensi,6,2,3,cage,461,2.396107,-1,324.5,13,17
ensi,6,2,4,cage,343,NA,-1,324.5,14,17
ensi,6,2,5,cage,112,2.31479,-1,324.5,15,17
ensi,6,2,6,cage,345,2.062197,-1,324.5,16,17
ensi,6,3,1,cage,306,2.673213,-1,311.6,17,18
ensi,6,3,2,cage,497,2.692783,-1,311.6,18,18
ensi,6,3,3,cage,283,1.989712,-1,311.6,19,18
ensi,6,3,4,cage,292,2.563933,-1,311.6,20,18
ensi,6,3,5,cage,387,2.694767,-1,311.6,21,18
ensi,6,3,6,cage,190,1.910056,-1,311.6,22,18
ensi,6,3,7,cage,378,1.78588,-1,311.6,23,18
ensi,6,3,8,cage,369,1.830856,-1,311.6,24,18
ensi,6,3,9,cage,328,1.762098,-1,311.6,25,18
ensi,6,3,10,cage,86,NA,-1,311.6,26,18
ensi,7,1,1,cage,325,2.114377,-1,331.7894737,27,19
ensi,7,1,2,cage,331,2.371942,-1,331.7894737,28,19
ensi,7,1,3,cage,446,1.213031,-1,331.7894737,29,19
ensi,7,1,4,cage,514,2.565647,-1,331.7894737,30,19
ensi,7,1,5,cage,266,2.074769,-1,331.7894737,31,19
ensi,7,1,6,cage,35,NA,-1,331.7894737,32,19
ensi,7,1,7,cage,333,2.599099,-1,331.7894737,33,19
ensi,7,1,8,cage,306,1.755507,-1,331.7894737,34,19
ensi,7,1,9,cage,221,2.096109,-1,331.7894737,35,19
ensi,7,1,10,cage,232,2.15695,-1,331.7894737,36,19
ensi,7,1,11,cage,379,2.689754,-1,331.7894737,37,19
ensi,7,1,12,cage,378,2.16062,-1,331.7894737,38,19
ensi,7,1,13,cage,366,2.469409,-1,331.7894737,39,19
ensi,7,1,14,cage,487,2.201981,-1,331.7894737,40,19
ensi,7,1,15,cage,380,2.267078,-1,331.7894737,41,19
ensi,7,1,16,cage,405,2.510645,-1,331.7894737,42,19
ensi,7,1,17,cage,333,1.896514,-1,331.7894737,43,19
ensi,7,1,18,cage,203,2.198768,-1,331.7894737,44,19
ensi,7,1,19,cage,364,1.662766,-1,331.7894737,45,19
ensi,7,3,1,cage,297,2.118287,-1,389.6111111,46,20
ensi,7,3,2,cage,439,2.240806,-1,389.6111111,47,20
ensi,7,3,3,cage,343,2.007328,-1,389.6111111,48,20
ensi,7,3,4,cage,401,2.448925,-1,389.6111111,49,20
ensi,7,3,5,cage,482,2.849742,-1,389.6111111,50,20
ensi,7,3,6,cage,303,2.696982,-1,389.6111111,51,20
ensi,7,3,7,cage,432,2.08881,-1,389.6111111,52,20
ensi,7,3,8,cage,361,2.605913,-1,389.6111111,53,20
ensi,7,3,9,cage,305,1.965384,-1,389.6111111,54,20
ensi,7,3,10,cage,438,2.040385,-1,389.6111111,55,20
ensi,7,3,11,cage,377,1.641456,-1,389.6111111,56,20
ensi,7,3,13,cage,429,2.034816,-1,389.6111111,57,20
ensi,7,3,14,cage,326,2.560503,-1,389.6111111,58,20
ensi,7,3,15,cage,524,2.364936,-1,389.6111111,59,20
ensi,7,3,16,cage,383,2.23068,-1,389.6111111,60,20
ensi,7,3,17,cage,360,1.799066,-1,389.6111111,61,20
ensi,7,3,18,cage,385,1.893036,-1,389.6111111,62,20
ensi,7,3,19,cage,428,1.594599,-1,389.6111111,63,20
ensi,7,2,1,cage,329,2.369588,-1,304.5882353,64,21
ensi,7,2,2,cage,44,2.142437,-1,304.5882353,65,21
ensi,7,2,3,cage,519,2.538445,-1,304.5882353,66,21
ensi,7,2,4,cage,215,2.225516,-1,304.5882353,67,21
ensi,7,2,5,cage,315,2.068351,-1,304.5882353,68,21
ensi,7,2,6,cage,328,1.783176,-1,304.5882353,69,21
ensi,7,2,7,cage,283,2.482708,-1,304.5882353,70,21
ensi,7,2,8,cage,213,2.280547,-1,304.5882353,71,21
ensi,7,2,9,cage,349,2.471742,-1,304.5882353,72,21
ensi,7,2,10,cage,224,2.216425,-1,304.5882353,73,21
ensi,7,2,11,cage,236,2.233238,-1,304.5882353,74,21
ensi,7,2,12,cage,311,2.137385,-1,304.5882353,75,21
ensi,7,2,13,cage,265,2.119143,-1,304.5882353,76,21
ensi,7,2,14,cage,233,1.708066,-1,304.5882353,77,21
ensi,7,2,15,cage,419,1.909676,-1,304.5882353,78,21
