species,tank,cage,individual,treatment,act.mm,head.width.mm,fish,act.avg,unique.ind,unique.cage.1
ensi,1,2,11,free.fish,184,2.810393,0,154.0666667,25,2
ensi,1,2,12,free.fish,349,2.202193,0,154.0666667,26,2
ensi,1,2,13,free.fish,131,1.784483,0,154.0666667,27,2
ensi,1,2,14,free.fish,14,2.084055,0,154.0666667,28,2
ensi,1,2,15,free.fish,22,2.158459,0,154.0666667,29,2
ensi,1,2,11,free.fish,435,2.810393,1,345.4,25,2
ensi,1,2,12,free.fish,467,2.202193,1,345.4,26,2
ensi,1,2,13,free.fish,383,1.784483,1,345.4,27,2
ensi,1,2,14,free.fish,370,2.084055,1,345.4,28,2
ensi,1,2,15,free.fish,368,2.158459,1,345.4,29,2
ensi,1,1,1,free.fish,189,2.666454,0,185,1,1
ensi,1,1,2,free.fish,243,2.794158,0,185,2,1
ensi,1,1,3,free.fish,300,2.567696,0,185,3,1
ensi,1,1,4,free.fish,167,2.113504,0,185,4,1
ensi,1,1,5,free.fish,401,2.533282,0,185,5,1
ensi,1,1,6,free.fish,266,2.397829,0,185,6,1
ensi,1,1,7,free.fish,67,2.899188,0,185,7,1
ensi,1,1,8,free.fish,357,2.124909,0,185,8,1
ensi,1,1,9,free.fish,178,2.678764,0,185,9,1
ensi,1,1,10,free.fish,145,2.555624,0,185,10,1
ensi,1,1,11,free.fish,153,2.524183,0,185,11,1
ensi,1,1,12,free.fish,101,2.297021,0,185,12,1
ensi,1,1,13,free.fish,23,2.935247,0,185,13,1
ensi,1,1,14,free.fish,0,3.123583,0,185,14,1
ensi,1,2,1,free.fish,194,2.90403,0,154.0666667,15,2
ensi,1,2,2,free.fish,6,2.148138,0,154.0666667,16,2
ensi,1,2,3,free.fish,30,2.650607,0,154.0666667,17,2
ensi,1,2,4,free.fish,285,2.021459,0,154.0666667,18,2
ensi,1,2,5,free.fish,67,2.800532,0,154.0666667,19,2
ensi,1,2,6,free.fish,148,2.755018,0,154.0666667,20,2
ensi,1,2,7,free.fish,111,2.850564,0,154.0666667,21,2
ensi,1,2,8,free.fish,162,2.112038,0,154.0666667,22,2
ensi,1,2,9,free.fish,354,2.391515,0,154.0666667,23,2
ensi,1,2,10,free.fish,254,2.080985,0,154.0666667,24,2
ensi,1,3,1,free.fish,354,2.291506,0,135,30,3
ensi,1,3,2,free.fish,127,2.783967,0,135,31,3
ensi,1,3,3,free.fish,223,2.090175,0,135,32,3
ensi,1,3,4,free.fish,115,2.112664,0,135,33,3
ensi,1,3,5,free.fish,249,2.343164,0,135,34,3
ensi,1,3,6,free.fish,5,2.687412,0,135,35,3
ensi,1,3,7,free.fish,125,1.701633,0,135,36,3
ensi,1,3,8,free.fish,0,2.038138,0,135,37,3
ensi,1,3,9,free.fish,45,2.377312,0,135,38,3
ensi,1,3,10,free.fish,107,2.087885,0,135,39,3
ensi,2,1,1,free.fish,419,2.675581,0,203.8181818,40,4
ensi,2,1,2,free.fish,206,2.613156,0,203.8181818,41,4
ensi,2,1,3,free.fish,102,2.061048,0,203.8181818,42,4
ensi,2,1,4,free.fish,147,2.162664,0,203.8181818,43,4
ensi,2,1,5,free.fish,167,2.468707,0,203.8181818,44,4
ensi,2,1,6,free.fish,232,2.686244,0,203.8181818,45,4
ensi,2,1,7,free.fish,88,1.917345,0,203.8181818,46,4
ensi,2,1,8,free.fish,272,2.076064,0,203.8181818,47,4
ensi,2,1,9,free.fish,311,2.677959,0,203.8181818,48,4
ensi,2,1,10,free.fish,18,2.600889,0,203.8181818,49,4
ensi,2,1,11,free.fish,280,1.823101,0,203.8181818,50,4
ensi,2,3,1,free.fish,130,2.509911,0,207.3125,51,5
ensi,2,3,2,free.fish,239,2.672505,0,207.3125,52,5
ensi,2,3,3,free.fish,174,2.064776,0,207.3125,53,5
ensi,2,3,4,free.fish,330,2.358464,0,207.3125,54,5
ensi,2,3,5,free.fish,60,2.213803,0,207.3125,55,5
ensi,2,3,6,free.fish,238,2.137337,0,207.3125,56,5
ensi,2,3,7,free.fish,174,2.569331,0,207.3125,57,5
ensi,2,3,8,free.fish,148,1.797797,0,207.3125,58,5
ensi,2,3,9,free.fish,211,2.527941,0,207.3125,59,5
ensi,2,3,10,free.fish,140,3.03231,0,207.3125,60,5
ensi,2,3,11,free.fish,186,2.036147,0,207.3125,61,5
ensi,2,3,12,free.fish,275,2.47516,0,207.3125,62,5
ensi,2,3,13,free.fish,499,2.517643,0,207.3125,63,5
ensi,2,3,14,free.fish,332,2.079811,0,207.3125,64,5
ensi,2,3,15,free.fish,69,2.044505,0,207.3125,65,5
ensi,2,3,16,free.fish,112,2.082898,0,207.3125,66,5
ensi,2,2,1,free.fish,276,2.646165,0,222.7333333,67,6
ensi,2,2,2,free.fish,383,1.914464,0,222.7333333,68,6
ensi,2,2,3,free.fish,208,2.100861,0,222.7333333,69,6
ensi,2,2,4,free.fish,376,2.67988,0,222.7333333,70,6
ensi,2,2,5,free.fish,232,1.930209,0,222.7333333,71,6
ensi,2,2,6,free.fish,228,2.585572,0,222.7333333,72,6
ensi,2,2,7,free.fish,63,2.056772,0,222.7333333,73,6
ensi,2,2,8,free.fish,295,1.777384,0,222.7333333,74,6
ensi,2,2,9,free.fish,298,1.973088,0,222.7333333,75,6
ensi,2,2,10,free.fish,214,2.142446,0,222.7333333,76,6
ensi,2,2,11,free.fish,223,2.917792,0,222.7333333,77,6
ensi,2,2,12,free.fish,180,1.95074,0,222.7333333,78,6
ensi,2,2,13,free.fish,148,2.758763,0,222.7333333,79,6
ensi,2,2,14,free.fish,10,2.120056,0,222.7333333,80,6
ensi,2,2,15,free.fish,207,2.018369,0,222.7333333,81,6
ensi,3,1,1,free.fish,154,1.754068,0,182,82,7
ensi,3,1,2,free.fish,78,2.521965,0,182,83,7
ensi,3,1,3,free.fish,270,2.48976,0,182,84,7
ensi,3,1,4,free.fish,159,2.96557,0,182,85,7
ensi,3,1,5,free.fish,259,2.635723,0,182,86,7
ensi,3,1,6,free.fish,241,2.501306,0,182,87,7
ensi,3,1,7,free.fish,140,1.970217,0,182,88,7
ensi,3,1,8,free.fish,17,2.222593,0,182,89,7
ensi,3,1,9,free.fish,235,2.56104,0,182,90,7
ensi,3,1,10,free.fish,244,2.100775,0,182,91,7
ensi,3,1,11,free.fish,205,1.537893,0,182,92,7
ensi,3,3,1,free.fish,238,2.697732,0,189.2307692,93,8
ensi,3,3,2,free.fish,191,2.148429,0,189.2307692,94,8
ensi,3,3,3,free.fish,385,2.635959,0,189.2307692,95,8
ensi,3,3,4,free.fish,30,2.582091,0,189.2307692,96,8
ensi,3,3,5,free.fish,240,2.512396,0,189.2307692,97,8
ensi,3,3,6,free.fish,267,1.695065,0,189.2307692,98,8
ensi,3,3,7,free.fish,133,1.917412,0,189.2307692,99,8
ensi,3,3,8,free.fish,202,2.17218,0,189.2307692,100,8
ensi,3,3,9,free.fish,232,2.423842,0,189.2307692,101,8
ensi,3,3,10,free.fish,100,1.388944,0,189.2307692,102,8
ensi,3,3,11,free.fish,33,2.613226,0,189.2307692,103,8
ensi,3,3,12,free.fish,278,2.138333,0,189.2307692,104,8
ensi,3,3,13,free.fish,131,1.761964,0,189.2307692,105,8
ensi,3,2,1,free.fish,147,2.061611,0,193.3571429,106,9
ensi,3,2,2,free.fish,126,2.085386,0,193.3571429,107,9
ensi,3,2,3,free.fish,120,2.024411,0,193.3571429,108,9
ensi,3,2,4,free.fish,344,2.19753,0,193.3571429,109,9
