species,tank,cage,individual,treatment,nf1.act.mm,f.act.mm,nf2.act.mm,head.width.mm,
ensi,1,1,1,free.fish,317,189,462,2.666454,
ensi,1,1,2,free.fish,493,243,291,2.794158,
ensi,1,1,3,free.fish,411,300,386,2.567696,
ensi,1,1,4,free.fish,383,167,387,2.113504,
ensi,1,1,5,free.fish,347,401,237,2.533282,
ensi,1,1,6,free.fish,363,266,281,2.397829,
ensi,1,1,7,free.fish,408,67,278,2.899188,
ensi,1,1,8,free.fish,374,357,266,2.124909,
ensi,1,1,9,free.fish,397,178,390,2.678764,
ensi,1,1,10,free.fish,301,145,317,2.555624,
ensi,1,1,11,free.fish,406,153,328,2.524183,
ensi,1,1,12,free.fish,362,101,248,2.297021,
ensi,1,1,13,free.fish,444,23,181,2.935247,
ensi,1,1,14,free.fish,396,0,354,3.123583,
ensi,1,2,1,free.fish,310,194,449,2.90403,
ensi,1,2,2,free.fish,333,6,290,2.148138,
ensi,1,2,3,free.fish,408,30,233,2.650607,
ensi,1,2,4,free.fish,401,285,294,2.021459,
ensi,1,2,5,free.fish,488,67,352,2.800532,
ensi,1,2,6,free.fish,408,148,329,2.755018,
ensi,1,2,7,free.fish,339,111,220,2.850564,
ensi,1,2,8,free.fish,297,162,328,2.112038,
ensi,1,2,9,free.fish,395,354,224,2.391515,
ensi,1,2,10,free.fish,445,254,439,2.080985,
ensi,1,2,11,free.fish,459,184,435,2.810393,out of 3
ensi,1,2,12,free.fish,410,349,467,2.202193,out of 3
ensi,1,2,13,free.fish,308,131,383,1.784483,out of 3
ensi,1,2,14,free.fish,448,14,370,2.084055,out of 3
ensi,1,2,15,free.fish,401,22,368,2.158459,out of 3
ensi,1,3,1,free.fish,257,354,573,2.291506,
ensi,1,3,2,free.fish,474,127,247,2.783967,
ensi,1,3,3,free.fish,249,223,240,2.090175,
ensi,1,3,4,free.fish,331,115,312,2.112664,
ensi,1,3,5,free.fish,337,249,196,2.343164,
ensi,1,3,6,free.fish,232,5,280,2.687412,
ensi,1,3,7,free.fish,236,125,262,1.701633,
ensi,1,3,8,free.fish,390,0,285,2.038138,
ensi,1,3,9,free.fish,398,45,232,2.377312,
ensi,1,3,10,free.fish,221,107,173,2.087885,
ensi,2,1,1,free.fish,366,419,335,2.675581,
ensi,2,1,2,free.fish,262,206,192,2.613156,
ensi,2,1,3,free.fish,496,102,217,2.061048,
ensi,2,1,4,free.fish,397,147,399,2.162664,
ensi,2,1,5,free.fish,382,167,265,2.468707,
ensi,2,1,6,free.fish,313,232,374,2.686244,
ensi,2,1,7,free.fish,346,88,326,1.917345,
ensi,2,1,8,free.fish,404,272,413,2.076064,
ensi,2,1,9,free.fish,391,311,350,2.677959,
ensi,2,1,10,free.fish,383,18,359,2.600889,
ensi,2,1,11,free.fish,308,280,387,1.823101,
ensi,2,1,12,free.fish,136,NA,NA,NA,
ensi,2,3,1,free.fish,485,130,336,2.509911,
ensi,2,3,2,free.fish,355,239,462,2.672505,
ensi,2,3,3,free.fish,466,174,362,2.064776,
ensi,2,3,4,free.fish,389,330,411,2.358464,
ensi,2,3,5,free.fish,277,60,140,2.213803,
ensi,2,3,6,free.fish,416,238,331,2.137337,
ensi,2,3,7,free.fish,376,174,348,2.569331,
ensi,2,3,8,free.fish,422,148,246,1.797797,
ensi,2,3,9,free.fish,476,211,260,2.527941,
ensi,2,3,10,free.fish,351,140,486,3.03231,
ensi,2,3,11,free.fish,400,186,394,2.036147,
ensi,2,3,12,free.fish,465,275,346,2.47516,
ensi,2,3,13,free.fish,310,499,381,2.517643,
ensi,2,3,14,free.fish,442,332,372,2.079811,
ensi,2,3,15,free.fish,376,69,384,2.044505,
ensi,2,3,16,free.fish,268,112,458,2.082898,
ensi,2,2,1,free.fish,262,276,306,2.646165,
ensi,2,2,2,free.fish,480,383,375,1.914464,
ensi,2,2,3,free.fish,445,208,252,2.100861,
ensi,2,2,4,free.fish,483,376,417,2.67988,
ensi,2,2,5,free.fish,335,232,317,1.930209,
ensi,2,2,6,free.fish,394,228,321,2.585572,
ensi,2,2,7,free.fish,143,63,76,2.056772,
ensi,2,2,8,free.fish,351,295,448,1.777384,
ensi,2,2,9,free.fish,357,298,260,1.973088,
ensi,2,2,10,free.fish,354,214,364,2.142446,
ensi,2,2,11,free.fish,384,223,292,2.917792,
ensi,2,2,12,free.fish,381,180,327,1.95074,
ensi,2,2,13,free.fish,317,148,230,2.758763,
ensi,2,2,14,free.fish,253,10,357,2.120056,
ensi,2,2,15,free.fish,389,207,324,2.018369,
ensi,3,1,1,free.fish,286,154,368,1.754068,
ensi,3,1,2,free.fish,413,78,313,2.521965,
ensi,3,1,3,free.fish,417,270,361,2.48976,
ensi,3,1,4,free.fish,281,159,371,2.96557,
ensi,3,1,5,free.fish,371,259,409,2.635723,
ensi,3,1,6,free.fish,313,241,444,2.501306,
ensi,3,1,7,free.fish,265,140,100,1.970217,
ensi,3,1,8,free.fish,146,17,NA,2.222593,
ensi,3,1,9,free.fish,356,235,270,2.56104,
ensi,3,1,10,free.fish,284,244,329,2.100775,
ensi,3,1,11,free.fish,435,205,171,1.537893,
ensi,3,3,1,free.fish,350,238,444,2.697732,
ensi,3,3,2,free.fish,326,191,376,2.148429,
ensi,3,3,3,free.fish,217,385,354,2.635959,
ensi,3,3,4,free.fish,422,30,381,2.582091,
ensi,3,3,5,free.fish,434,240,354,2.512396,
ensi,3,3,6,free.fish,494,267,484,1.695065,
ensi,3,3,7,free.fish,389,133,378,1.917412,
ensi,3,3,8,free.fish,396,202,154,2.17218,
ensi,3,3,9,free.fish,402,232,281,2.423842,
ensi,3,3,10,free.fish,504,100,353,1.388944,
ensi,3,3,11,free.fish,494,33,394,2.613226,
ensi,3,3,12,free.fish,369,278,306,2.138333,
ensi,3,3,13,free.fish,282,131,245,1.761964,
ensi,3,2,1,free.fish,355,147,359,2.061611,
ensi,3,2,2,free.fish,415,126,217,2.085386,
ensi,3,2,3,free.fish,425,120,241,2.024411,
ensi,3,2,4,free.fish,409,344,315,2.19753,
ensi,3,2,5,free.fish,272,46,410,2.45771,
ensi,3,2,8,free.fish,296,377,283,2.202733,
ensi,3,2,9,free.fish,326,271,392,2.643356,
ensi,3,2,10,free.fish,321,120,178,2.120933,
ensi,3,2,11,free.fish,229,258,91,1.653449,
ensi,3,2,12,free.fish,403,212,367,2.393612,
ensi,3,2,13,free.fish,337,214,419,2.010436,
ensi,3,2,14,free.fish,223,83,207,2.470742,
ensi,3,2,15,free.fish,485,173,471,2.229895,
ensi,3,2,16,free.fish,391,216,337,1.697855,
ensi,4,1,1,free.fish,341,370,423,2.440799,
ensi,4,1,2,free.fish,512,342,345,2.848564,
ensi,4,1,3,free.fish,275,359,371,2.462227,
ensi,4,1,4,free.fish,412,226,238,2.428107,
ensi,4,1,5,free.fish,493,306,290,2.090514,
ensi,4,1,6,free.fish,399,165,416,2.032027,
ensi,4,1,7,free.fish,423,86,402,2.73508,
ensi,4,1,8,free.fish,426,243,455,2.604116,
ensi,4,1,9,free.fish,307,108,310,2.507987,
ensi,4,1,10,free.fish,515,309,377,2.575749,
ensi,4,1,11,free.fish,512,181,377,1.679183,
ensi,4,1,12,free.fish,387,89,430,2.72615,
ensi,4,1,13,free.fish,398,157,211,1.843895,
ensi,4,1,14,free.fish,596,433,380,1.671823,
ensi,4,1,15,free.fish,327,84,351,1.322579,
ensi,4,2,1,free.fish,373,328,447,2.609796,
ensi,4,2,2,free.fish,500,272,409,2.086719,
ensi,4,2,3,free.fish,344,31,434,2.287974,
ensi,4,2,4,free.fish,379,50,312,2.397984,
ensi,4,2,5,free.fish,353,148,218,2.351467,
ensi,4,2,6,free.fish,437,242,435,2.260992,
ensi,4,2,7,free.fish,360,126,323,2.621012,
ensi,4,2,8,free.fish,303,63,360,2.19001,
ensi,4,2,9,free.fish,445,159,397,2.548665,
ensi,4,2,10,free.fish,406,198,404,2.465295,
ensi,4,2,11,free.fish,123,178,347,1.971628,
ensi,4,2,12,free.fish,329,303,297,2.525381,
ensi,4,2,13,free.fish,392,372,480,1.904602,
ensi,4,2,14,free.fish,139,0,224,1.992649,
ensi,4,3,1,free.fish,394,133,312,2.72389,
ensi,4,3,2,free.fish,289,122,198,2.260497,
ensi,4,3,3,free.fish,350,178,385,1.832801,
ensi,4,3,4,free.fish,372,68,338,2.536512,
ensi,4,3,5,free.fish,404,320,285,2.546826,
ensi,4,3,6,free.fish,224,80,342,2.22392,
ensi,4,3,7,free.fish,484,113,237,2.308109,
ensi,4,3,8,free.fish,394,32,106,2.397305,
ensi,4,3,9,free.fish,406,35,322,2.243696,
ensi,4,3,10,free.fish,443,175,291,1.717435,
ensi,4,3,11,free.fish,280,40,290,1.558344,
ensi,4,3,12,free.fish,395,446,246,2.012704,
ensi,4,3,13,free.fish,344,74,219,1.528988,
ensi,4,3,14,free.fish,346,145,409,2.269143,
ensi,5,1,1,free.fish,435,19,462,2.468457,
ensi,5,1,2,free.fish,326,271,277,1.791713,
ensi,5,1,3,free.fish,158,214,297,2.465574,
ensi,5,1,4,free.fish,427,197,397,2.417996,
ensi,5,1,5,free.fish,477,318,347,2.534611,
ensi,5,1,6,free.fish,400,310,334,2.267025,
ensi,5,1,7,free.fish,472,79,293,2.607219,
ensi,5,1,8,free.fish,276,201,136,1.838315,
ensi,5,1,9,free.fish,428,107,422,2.125179,
ensi,5,1,10,free.fish,335,314,503,2.188006,
ensi,5,1,12,free.fish,387,226,22,1.819481,
ensi,5,1,13,free.fish,218,183,519,1.504743,
ensi,5,2,1,free.fish,509,0,359,2.671842,
ensi,5,2,2,free.fish,212,172,434,2.507802,
ensi,5,2,3,free.fish,477,307,257,1.643391,
ensi,5,2,4,free.fish,369,131,403,2.205185,
ensi,5,2,5,free.fish,384,367,389,2.788546,
ensi,5,2,6,free.fish,533,250,334,2.156484,
ensi,5,2,7,free.fish,489,279,426,2.513845,
ensi,5,2,8,free.fish,490,213,424,2.518766,
ensi,5,2,9,free.fish,414,135,325,2.486144,
ensi,5,2,10,free.fish,504,280,226,1.970063,
ensi,5,2,11,free.fish,439,211,268,2.474861,
ensi,5,2,12,free.fish,400,187,414,1.6715,
ensi,5,2,13,free.fish,406,315,374,2.651103,
ensi,5,2,14,free.fish,287,190,348,2.059185,
ensi,5,2,15,free.fish,318,178,323,1.676705,
ensi,5,3,1,free.fish,326,86,347,2.530422,
ensi,5,3,2,free.fish,305,89,337,2.044711,
ensi,5,3,4,free.fish,341,88,199,2.39924,
ensi,5,3,5,free.fish,267,75,NA,1.475356,
ensi,5,3,6,free.fish,315,180,328,2.654031,
ensi,5,3,7,free.fish,362,210,422,2.04595,
ensi,5,3,8,free.fish,238,165,280,2.6692,
ensi,5,3,9,free.fish,431,188,140,2.085362,
ensi,5,3,10,free.fish,296,122,326,2.80344,
ensi,5,3,11,free.fish,433,278,422,2.036316,
