lake ,species,ind.id,nf1.act.mm,f.act.mm,nf2.act.mm,head.width.mm
lincoln,ensi,1,190,202,355,0
lincoln,ensi,2,271,432,389,0
lincoln,ensi,3,47,160,217,0
lincoln,ensi,4,293,236,393,0
lincoln,ensi,5,280,285,211,0
lincoln,ensi,6,249,442,209,0
lincoln,ensi,7,249,95,194,0
lincoln,ensi,8,417,323,411,0
lincoln,ensi,9,316,260,305,0
lincoln,ensi,10,181,73,419,0
lincoln,ensi,11,145,50,385,0
lincoln,ensi,12,405,343,85,0
lincoln,ensi,13,45,219,327,0
lincoln,ensi,14,60,45,181,0
lincoln,ensi,15,215,253,377,0
lincoln,ensi,16,286,224,321,0
lincoln,ensi,17,287,230,258,0
lincoln,ensi,18,256,191,246,0
lincoln,ensi,19,92,117,384,0
lincoln,ensi,20,295,295,261,0
greenwood,ensi,1,404,267,278,1.517458
greenwood,ensi,2,281,103,511,1.896822
greenwood,ensi,3,258,6,283,2.188155
greenwood,ensi,4,41,30,64,2.828159
greenwood,ensi,5,260,285,429,2.455173
greenwood,ensi,6,222,137,129,2.863199
greenwood,ensi,7,324,136,319,3.344807
greenwood,ensi,8,237,273,246,1.704534
greenwood,ensi,9,155,66,125,2.964229
greenwood,ensi,10,338,257,322,2.161186
greenwood,ensi,11,440,79,NA,2.191688
greenwood,ensi,12,316,156,191,2.033444
greenwood,ensi,13,230,113,174,2.894346
greenwood,ensi,14,248,44,103,1.871363
greenwood,ensi,15,206,144,167,1.671938
greenwood,ensi,16,30,178,326,1.830545
greenwood,ensi,17,259,54,165,1.849227
greenwood,ensi,18,158,188,421,1.964762
greenwood,ensi,19,477,200,331,1.758903
greenwood,ensi,20,306,162,404,2.386701
sequoyah,ensi,1,345,117,401,2.796628
sequoyah,ensi,2,350,337,314,1.776532
sequoyah,ensi,3,97,42,NA,2.39173
sequoyah,ensi,4,222,242,257,3.080248
sequoyah,ensi,5,87,130,303,2.939704
sequoyah,ensi,6,152,65,34,2.546329
sequoyah,ensi,7,139,65,202,2.314476
sequoyah,ensi,8,321,152,291,2.973765
sequoyah,ensi,9,178,152,0,2.35801
sequoyah,ensi,10,130,36,242,2.506001
sequoyah,ensi,11,109,172,254,2.127583
sequoyah,ensi,12,438,430,311,1.942803
sequoyah,ensi,13,349,129,415,2.897234
sequoyah,ensi,14,417,307,357,2.746983
sequoyah,ensi,15,159,214,340,2.211169
sequoyah,ensi,16,200,222,293,2.060237
sequoyah,ensi,17,136,361,199,2.67833
sequoyah,ensi,18,422,100,368,2.370793
sequoyah,ensi,19,322,196,421,2.59286
sequoyah,ensi,20,288,169,339,2.053434
fayetteville,ensi,1,376,385,277,2.304735
fayetteville,ensi,2,267,39,285,2.936788
fayetteville,ensi,3,399,382,335,2.43627
fayetteville,ensi,4,322,299,451,2.359646
fayetteville,ensi,5,341,369,294,2.33931
fayetteville,ensi,6,503,348,326,1.732127
fayetteville,ensi,7,124,159,316,2.817808
fayetteville,ensi,8,301,99,554,2.074876
fayetteville,ensi,9,364,60,342,2.393202
fayetteville,ensi,10,293,110,365,2.221793
fayetteville,ensi,11,252,72,321,2.360666
fayetteville,ensi,12,47,69,194,2.795233
fayetteville,ensi,13,245,282,458,2.656659
fayetteville,ensi,14,415,154,294,2.566267
fayetteville,ensi,15,233,363,265,1.896228
fayetteville,ensi,16,345,200,349,2.486036
fayetteville,ensi,17,227,84,380,2.78543
fayetteville,ensi,18,204,92,284,3.280343
fayetteville,ensi,19,484,66,360,1.873267
fayetteville,ensi,20,373,198,345,2.452386
bobkidd,ensi,1,153,152,179,3.075591
bobkidd,ensi,2,397,434,517,3.207167
bobkidd,ensi,3,113,96,102,3.004781
bobkidd,ensi,4,261,296,422,2.100755
bobkidd,ensi,5,328,277,401,1.978442
bobkidd,ensi,6,265,404,525,3.024754
bobkidd,ensi,7,128,108,NA,1.456032
bobkidd,ensi,8,58,99,111,2.567165
bobkidd,ensi,9,315,134,317,2.793063
bobkidd,ensi,10,417,446,304,3.257243
bobkidd,ensi,11,219,36,430,2.492674
bobkidd,ensi,12,196,282,429,2.442463
bobkidd,ensi,13,341,357,513,2.358163
bobkidd,ensi,14,207,70,290,2.970993
bobkidd,ensi,15,267,78,218,2.977688
bobkidd,ensi,16,197,165,227,2.345462
bobkidd,ensi,17,146,68,318,2.975751
bobkidd,ensi,18,398,222,354,2.927561
bobkidd,ensi,19,283,271,340,3.00895
bobkidd,ensi,20,235,111,223,3.158317
siloam,ensi,1,281,65,310,2.547095
siloam,ensi,2,450,61,305,3.421429
siloam,ensi,3,376,396,193,2.130388
siloam,ensi,4,432,268,410,2.465712
siloam,ensi,5,361,74,381,2.588057
siloam,ensi,6,248,368,418,3.17766
siloam,ensi,7,286,338,204,2.332203
siloam,ensi,8,314,333,187,2.18401
siloam,ensi,9,319,279,234,3.077696
siloam,ensi,10,143,88,199,2.961677
siloam,ensi,11,379,295,113,2.757485
siloam,ensi,12,306,113,285,2.718625
siloam,ensi,13,185,300,369,2.492402
siloam,ensi,14,331,435,337,2.50154
siloam,ensi,15,66,133,141,2.195495
siloam,ensi,16,330,328,370,2.769907
siloam,ensi,17,298,298,252,2.415642
siloam,ensi,18,271,169,76,1.917371
siloam,ensi,19,339,382,341,2.419017
siloam,ensi,20,373,363,477,2.803281
prairiegrove,ensi,1,361,323,398,2.420978
prairiegrove,ensi,2,328,334,306,2.811272
prairiegrove,ensi,3,228,295,154,1.837061
prairiegrove,ensi,4,196,215,164,2.878855
prairiegrove,ensi,5,301,196,151,2.96826
prairiegrove,ensi,6,302,276,220,2.895606
prairiegrove,ensi,7,457,407,216,2.064053
prairiegrove,ensi,8,332,387,362,1.852544
prairiegrove,ensi,9,372,325,384,2.516781
prairiegrove,ensi,10,255,125,354,2.593612
prairiegrove,ensi,11,480,349,333,2.340859
prairiegrove,ensi,12,325,371,289,2.964486
prairiegrove,ensi,13,173,135,209,3.0436
prairiegrove,ensi,14,365,229,232,3.0761
prairiegrove,ensi,15,365,433,247,1.864827
prairiegrove,ensi,16,190,84,NA,1.571964
prairiegrove,ensi,17,298,313,262,2.3933
prairiegrove,ensi,18,375,284,404,2.600464
prairiegrove,ensi,19,395,163,336,1.74503
prairiegrove,ensi,20,291,252,272,2.504286
