,lake,species,ind.id,act.mm,head.width.mm,mean.act.mm,diff,mean.diff,N,sd,se,recov,recov.mean,fish,fish.density
1,lincoln,ensi,1,190,0,228.95,-12,5.2,20,98.12054884,21.94042172,153,72.65,-1,0.987654321
2,lincoln,ensi,2,271,0,228.95,-161,5.2,20,98.12054884,21.94042172,-43,72.65,-1,0.987654321
3,lincoln,ensi,3,47,0,228.95,-113,5.2,20,98.12054884,21.94042172,57,72.65,-1,0.987654321
4,lincoln,ensi,4,293,0,228.95,57,5.2,20,98.12054884,21.94042172,157,72.65,-1,0.987654321
5,lincoln,ensi,5,280,0,228.95,-5,5.2,20,98.12054884,21.94042172,-74,72.65,-1,0.987654321
6,lincoln,ensi,6,249,0,228.95,-193,5.2,20,98.12054884,21.94042172,-233,72.65,-1,0.987654321
7,lincoln,ensi,7,249,0,228.95,154,5.2,20,98.12054884,21.94042172,99,72.65,-1,0.987654321
8,lincoln,ensi,8,417,0,228.95,94,5.2,20,98.12054884,21.94042172,88,72.65,-1,0.987654321
9,lincoln,ensi,9,316,0,228.95,56,5.2,20,98.12054884,21.94042172,45,72.65,-1,0.987654321
10,lincoln,ensi,10,181,0,228.95,108,5.2,20,98.12054884,21.94042172,346,72.65,-1,0.987654321
11,lincoln,ensi,11,145,0,228.95,95,5.2,20,98.12054884,21.94042172,335,72.65,-1,0.987654321
12,lincoln,ensi,12,405,0,228.95,62,5.2,20,98.12054884,21.94042172,-258,72.65,-1,0.987654321
13,lincoln,ensi,13,45,0,228.95,-174,5.2,20,98.12054884,21.94042172,108,72.65,-1,0.987654321
14,lincoln,ensi,14,60,0,228.95,15,5.2,20,98.12054884,21.94042172,136,72.65,-1,0.987654321
15,lincoln,ensi,15,215,0,228.95,-38,5.2,20,98.12054884,21.94042172,124,72.65,-1,0.987654321
16,lincoln,ensi,16,286,0,228.95,62,5.2,20,98.12054884,21.94042172,97,72.65,-1,0.987654321
17,lincoln,ensi,17,287,0,228.95,57,5.2,20,98.12054884,21.94042172,28,72.65,-1,0.987654321
18,lincoln,ensi,18,256,0,228.95,65,5.2,20,98.12054884,21.94042172,55,72.65,-1,0.987654321
19,lincoln,ensi,19,92,0,228.95,-25,5.2,20,98.12054884,21.94042172,267,72.65,-1,0.987654321
20,lincoln,ensi,20,295,0,228.95,0,5.2,20,98.12054884,21.94042172,-34,72.65,-1,0.987654321
21,greenwood,ensi,1,404,1.517458,250,137,102.6842105,19,110.4928618,25.34880098,11,115.2105263,-1,2.814814815
22,greenwood,ensi,2,281,1.896822,250,178,102.6842105,19,110.4928618,25.34880098,408,115.2105263,-1,2.814814815
23,greenwood,ensi,3,258,2.188155,250,252,102.6842105,19,110.4928618,25.34880098,277,115.2105263,-1,2.814814815
24,greenwood,ensi,4,41,2.828159,250,11,102.6842105,19,110.4928618,25.34880098,34,115.2105263,-1,2.814814815
25,greenwood,ensi,5,260,2.455173,250,-25,102.6842105,19,110.4928618,25.34880098,144,115.2105263,-1,2.814814815
26,greenwood,ensi,6,222,2.863199,250,85,102.6842105,19,110.4928618,25.34880098,-8,115.2105263,-1,2.814814815
27,greenwood,ensi,7,324,3.344807,250,188,102.6842105,19,110.4928618,25.34880098,183,115.2105263,-1,2.814814815
28,greenwood,ensi,8,237,1.704534,250,-36,102.6842105,19,110.4928618,25.34880098,-27,115.2105263,-1,2.814814815
29,greenwood,ensi,9,155,2.964229,250,89,102.6842105,19,110.4928618,25.34880098,59,115.2105263,-1,2.814814815
30,greenwood,ensi,10,338,2.161186,250,81,102.6842105,19,110.4928618,25.34880098,65,115.2105263,-1,2.814814815
31,greenwood,ensi,12,316,2.033444,250,160,102.6842105,19,110.4928618,25.34880098,35,115.2105263,-1,2.814814815
32,greenwood,ensi,13,230,2.894346,250,117,102.6842105,19,110.4928618,25.34880098,61,115.2105263,-1,2.814814815
33,greenwood,ensi,14,248,1.871363,250,204,102.6842105,19,110.4928618,25.34880098,59,115.2105263,-1,2.814814815
34,greenwood,ensi,15,206,1.671938,250,62,102.6842105,19,110.4928618,25.34880098,23,115.2105263,-1,2.814814815
35,greenwood,ensi,16,30,1.830545,250,-148,102.6842105,19,110.4928618,25.34880098,148,115.2105263,-1,2.814814815
36,greenwood,ensi,17,259,1.849227,250,205,102.6842105,19,110.4928618,25.34880098,111,115.2105263,-1,2.814814815
37,greenwood,ensi,18,158,1.964762,250,-30,102.6842105,19,110.4928618,25.34880098,233,115.2105263,-1,2.814814815
38,greenwood,ensi,19,477,1.758903,250,277,102.6842105,19,110.4928618,25.34880098,131,115.2105263,-1,2.814814815
39,greenwood,ensi,20,306,2.386701,250,144,102.6842105,19,110.4928618,25.34880098,242,115.2105263,-1,2.814814815
40,sequoyah,ensi,1,345,2.796628,250.7368421,228,61.47368421,19,126.0746553,28.92350957,284,91.84210526,-1,0.098765432
41,sequoyah,ensi,2,350,1.776532,250.7368421,13,61.47368421,19,126.0746553,28.92350957,-23,91.84210526,-1,0.098765432
42,sequoyah,ensi,4,222,3.080248,250.7368421,-20,61.47368421,19,126.0746553,28.92350957,15,91.84210526,-1,0.098765432
43,sequoyah,ensi,5,87,2.939704,250.7368421,-43,61.47368421,19,126.0746553,28.92350957,173,91.84210526,-1,0.098765432
44,sequoyah,ensi,6,152,2.546329,250.7368421,87,61.47368421,19,126.0746553,28.92350957,-31,91.84210526,-1,0.098765432
45,sequoyah,ensi,7,139,2.314476,250.7368421,74,61.47368421,19,126.0746553,28.92350957,137,91.84210526,-1,0.098765432
46,sequoyah,ensi,8,321,2.973765,250.7368421,169,61.47368421,19,126.0746553,28.92350957,139,91.84210526,-1,0.098765432
47,sequoyah,ensi,9,178,2.35801,250.7368421,26,61.47368421,19,126.0746553,28.92350957,-152,91.84210526,-1,0.098765432
48,sequoyah,ensi,10,130,2.506001,250.7368421,94,61.47368421,19,126.0746553,28.92350957,206,91.84210526,-1,0.098765432
49,sequoyah,ensi,11,109,2.127583,250.7368421,-63,61.47368421,19,126.0746553,28.92350957,82,91.84210526,-1,0.098765432
50,sequoyah,ensi,12,438,1.942803,250.7368421,8,61.47368421,19,126.0746553,28.92350957,-119,91.84210526,-1,0.098765432
51,sequoyah,ensi,13,349,2.897234,250.7368421,220,61.47368421,19,126.0746553,28.92350957,286,91.84210526,-1,0.098765432
52,sequoyah,ensi,14,417,2.746983,250.7368421,110,61.47368421,19,126.0746553,28.92350957,50,91.84210526,-1,0.098765432
53,sequoyah,ensi,15,159,2.211169,250.7368421,-55,61.47368421,19,126.0746553,28.92350957,126,91.84210526,-1,0.098765432
54,sequoyah,ensi,16,200,2.060237,250.7368421,-22,61.47368421,19,126.0746553,28.92350957,71,91.84210526,-1,0.098765432
55,sequoyah,ensi,17,136,2.67833,250.7368421,-225,61.47368421,19,126.0746553,28.92350957,-162,91.84210526,-1,0.098765432
56,sequoyah,ensi,18,422,2.370793,250.7368421,322,61.47368421,19,126.0746553,28.92350957,268,91.84210526,-1,0.098765432
57,sequoyah,ensi,19,322,2.59286,250.7368421,126,61.47368421,19,126.0746553,28.92350957,225,91.84210526,-1,0.098765432
58,sequoyah,ensi,20,288,2.053434,250.7368421,119,61.47368421,19,126.0746553,28.92350957,170,91.84210526,-1,0.098765432
59,fayetteville,ensi,1,376,2.304735,305.75,-9,114.25,20,138.2609565,30.91608975,-108,148.25,-1,2.518518519
60,fayetteville,ensi,2,267,2.936788,305.75,228,114.25,20,138.2609565,30.91608975,246,148.25,-1,2.518518519
61,fayetteville,ensi,3,399,2.43627,305.75,17,114.25,20,138.2609565,30.91608975,-47,148.25,-1,2.518518519
62,fayetteville,ensi,4,322,2.359646,305.75,23,114.25,20,138.2609565,30.91608975,152,148.25,-1,2.518518519
63,fayetteville,ensi,5,341,2.33931,305.75,-28,114.25,20,138.2609565,30.91608975,-75,148.25,-1,2.518518519
64,fayetteville,ensi,6,503,1.732127,305.75,155,114.25,20,138.2609565,30.91608975,-22,148.25,-1,2.518518519
65,fayetteville,ensi,7,124,2.817808,305.75,-35,114.25,20,138.2609565,30.91608975,157,148.25,-1,2.518518519
