series,model,rmse_normalized_total,rmse_normalized_prey,rmse_normalized_predator,rmse_raw_total,rmse_raw_prey,rmse_raw_predator,validation_rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_raw_total,validation_rmse_raw_prey,validation_rmse_raw_predator,aic,aicc,bic,n_parameters,n_train_points,n_validation_points,optimization_status,usable_for_comparison,success,termination_reason,objective_value,parameter_bound_hits,source_file,detection_method,confidence,time_col,prey_col,predator_col,group_key,optimized_fear_objective,nested_baseline_candidate_objective,nested_baseline_candidate_selected,fear_parameter_bounds,K,a,c,d,delta,e,k,m,m0,mu,p,phi,predator_observed_median_raw,q,r,theta,u0,u_scale,v0,v_observed_max,v_observed_median,v_observed_min,v_scale,x0,y0
glerl_m110_zoop_1994-201,baseline,0.17075104952077877,0.16158625966877188,0.179448383974755,5.521354830933847,7.788134543515469,0.5618528902249579,0.28136146085061686,0.34908342854357377,0.1909693777029449,11.90466886160876,16.82512308894317,0.5979251215879203,-956.6166514405224,-956.3020446989494,-934.937882802194,6,137,35,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.988997856214064,,D:\code\USTC_MM_26_animalfear\data\raw\04_lake_michigan_zooplankton\GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,Date,D.mendotae,Bythotrephes,,,,,,520.0119943935971,0.2770922222886455,,,,0.3626669402413699,,,,0.18791004769324607,,,,,0.04488547305684235,4.461046807838646e-05,,,,,,,,3.753,0.064
glerl_m110_zoop_1994-201,fear_memory,0.17067384263137816,0.16151651677994244,0.17936425486811872,5.518970673384518,7.784773075759666,0.5615894819920797,0.2815414527951463,0.35076124392735425,0.18840841022241628,11.96161574652117,16.90599043481062,0.5899067324063852,-954.8644914608911,-954.4434388293122,-929.5725947161746,7,137,35,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.981530875738992,,D:\code\USTC_MM_26_animalfear\data\raw\04_lake_michigan_zooplankton\GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,Date,D.mendotae,Bythotrephes,,7.981530875738992,7.990120818271832,False,"[1e-05, 0.2]",83.78772635768996,0.3907549577164425,,,1.0,0.3538181271847878,,,0.064,0.21695559697417693,,0.010002477673725509,,,0.05258777466204866,0.07446162223320024,,,,,,,,3.753,0.064
glerl_m110_zoop_1994-201,bda_fear,0.17081797798750528,0.16157702536401822,0.17958404183555704,5.521062551561696,7.78768946849495,0.562277634987129,0.2831294241711791,0.3500339955343218,0.1944241333612813,11.937318233425845,16.870938516763246,0.6087419615541718,-952.401896604564,-951.8585003781488,-923.4968717534593,8,137,35,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.9953165206715475,,D:\code\USTC_MM_26_animalfear\data\raw\04_lake_michigan_zooplankton\GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,Date,D.mendotae,Bythotrephes,,,,,,,0.00019887818319405792,2.902030380179265,0.1672580322551918,,,0.058880750570854797,0.10000781422292643,,,1.4068424245779518,,0.041499999999999995,1.2624399737430807,0.2371042662137215,,0.07786630150628657,48.198,0.020440753752794635,1.0,0.01325455126157777,0.0,3.131,,
andren_lynx_roedeer_data_1,baseline,0.06010282414982824,0.053535353204071136,0.06602018554113358,8.239778928154326,11.649658910903002,0.27085204324567624,0.0701619728283596,0.09114322995630363,0.039221378041411306,14.024786129132305,19.83339004006402,0.16090821760579,-201.6890820251455,-198.97940460579065,-191.86356506678717,6,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.13726647935134012,e,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,,,,,160.13299107951505,0.17145736570753015,,,,0.010000000000000004,,,,0.20522336832839158,,,,,0.5719087400303752,0.0001328833492278648,,,,,,,,217.60683760683762,4.102564102564103
andren_lynx_roedeer_data_1,fear_memory,0.05959696943535041,0.052849421526103876,0.06565467368064795,8.134237737659253,11.500395487646195,0.26935250740778655,0.06523219334533982,0.08497081773944855,0.035922670139857504,13.074982973535766,18.49023093714839,0.14737505698403083,-200.33144214989017,-196.59810881655685,-188.86833903180548,7,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.13496749031036104,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,0.13496749031036104,0.13749009217884256,False,"[1e-05, 0.2]",157.12949326705927,0.04870901054454366,,,1.0,0.03173628174471353,,,4.102564102564103,0.19485375388029194,,0.19473690158385806,,,0.6161202626430402,3.101874425370801e-06,,,,,,,,217.60683760683762,4.102564102564103
andren_lynx_roedeer_data_1,bda_fear,0.0646591167102992,0.051433884610470326,0.07560527932220747,7.917235710714801,11.192364975919443,0.31017550491162044,0.066477294016699,0.08321953279395601,0.0437375193754855,12.805723829057376,18.109139358411287,0.17943597692506874,-192.1355887152212,-187.1700714738419,-179.0348994374101,8,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.15886930833165525,q,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,,,,,,1.1780923789291493,0.3128945698566314,0.029284192853996874,,,0.019222183591822647,0.18839414421486902,,,2.353965821827976,,1.1965811965811965,2.0,0.9094009641099686,,1.0,217.60683760683762,1.0,1.0,0.29166666666666663,0.125,4.102564102564103,,
andren_lynx_roedeer_data_2,baseline,0.10312485848811241,0.06210350173679995,0.13195691701617504,3.668855510190997,5.185590899581887,0.17506721992195692,0.09675850584305756,0.08639257410781864,0.10611663415783161,5.101833389362843,7.213708302369268,0.14078492093908007,-160.65792529891868,-157.94824787956384,-150.83240834056036,6,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4040996763636756,e,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,,,,,51.37458983504344,0.3007124066876771,,,,0.010000000000000004,,,,0.1285739985126935,,,,,0.5736611594689265,5.159868256066878e-09,,,,,,,,83.49917081260365,1.2023217247097844
andren_lynx_roedeer_data_2,fear_memory,0.10106744578009128,0.054837675606933825,0.13199275179740771,3.240138457063982,4.578900442469516,0.17511476192027556,0.08330112661472336,0.06570034513261737,0.09778353665121396,3.8802187818035367,5.48592434067543,0.12972940185899032,-160.18950758044286,-156.45617424710954,-148.72640446235818,7,19,5,usable_limit,True,False,"STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT",0.388155548078782,e;phi,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,0.388155548078782,0.40387272993011425,False,"[1e-05, 0.2]",59.10051270753224,0.24856576097473979,,,1.0,0.010000000000000004,,,1.2023217247097844,0.11078486715669808,,0.2,,,0.6089675169137319,9.987229115088905e-10,,,,,,,,83.49917081260365,1.2023217247097844
andren_lynx_roedeer_data_2,bda_fear,0.10191499360766564,0.04827080319326249,0.13580596968903236,2.8528909514159584,4.030572041095798,0.18017375746471953,0.06565547020125366,0.04192585818992085,0.08284626696317741,2.476641075828871,3.5007743944651977,0.10991212864103139,-157.55483189681806,-152.58931465543876,-144.45414261900697,8,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3946675197173785,c,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,,,,,,0.7943671201976756,0.10000000000000002,0.024850996855079494,,,0.0021923225472196962,0.07387023955050225,,,1.9053907214631158,,0.7669983416252073,0.0010336873576259945,1.0173063337854082,,1.0,83.49917081260365,0.90625,1.0,0.578125,0.25,1.3266998341625207,,
andren_lynx_roedeer_data_3,baseline,0.11302138791351844,0.048514393041525335,0.1522958368426676,9.473543125673114,13.39528104526493,0.2499688507448039,0.0755197457120694,0.05392228175591824,0.09218921582846128,10.52826769811253,14.888450075099126,0.15131360652695772,-153.69354355027028,-150.98386613091543,-143.86802659191196,6,19,5,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4853744352696061,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,,,,,138.05471124620064,0.12859857406750763,,,,0.012688469893006257,,,,0.18777961927492337,,,,,0.2317339849107101,2.6652698686787686e-07,,,,,,,,276.1094224924012,1.033434650455927
