series,group,group_key,k,v0,eta_v0,v_observed_median,v_observed_min,v_observed_max,eta_at_observed_median,eta_v5_theoretical_extrapolation,v5_outside_observed_range,train_rmse_normalized_total,validation_rmse_normalized_total,aicc,p,q,r_param
lynxhare,mammal,,0.007238866558059954,0.04,0.00028947084468971184,0.1,0.03,1.0,0.0007233630229663666,0.03493006248435506,True,0.20506442158759983,0.1780888321529394,-286.55559831841947,4.743908805018548,0.020267516718538558,1.0036028052384591
glerl_m110_zoop_1994-201,zooplankton,,0.004013029535007215,0.0,0.0,0.013251783893985729,0.0,1.0638803941556234,5.3176972217342114e-05,0.019670457049502356,True,0.16458951639583824,0.26838694048678313,-993.8770178192286,0.6286158991490101,0.2179576784107185,0.369223774784169
andren_lynx_roedeer_data_1,mammal,1,0.24611273302481157,1.0,0.197504388248564,0.29166666666666663,0.125,1.0,0.06697520717478561,0.5516828254510355,True,0.07221371923804111,0.05010975707080369,-178.77200054162847,1.2321088516993441,0.0018066916254932143,0.7734343325799619
andren_lynx_roedeer_data_2,mammal,2,0.0396409125158059,0.90625,0.03467875728232474,0.578125,0.25,1.0,0.022403961933886846,0.16541796682230261,True,0.10347802557506003,0.07363927433699548,-151.43257891843453,1.4781160338402535,0.009504140133879613,0.8721348967105105
andren_lynx_roedeer_data_3,mammal,3,0.06871356763557769,0.6296296296296297,0.04146993864546403,0.42592592592592593,0.2222222222222222,1.0,0.028434694835237962,0.2557130562486716,True,0.12562226763550666,0.05499654796615988,-136.69463980197537,1.0745186719892803,0.16215449744240384,0.7976186879405331
andren_lynx_roedeer_data_4,mammal,4,0.11999979960405861,0.45454545454545453,0.051724056021271336,0.25757575757575757,0.09090909090909091,1.0,0.029982314747364458,0.3749996086014319,True,0.056326754680032814,0.04149683982653791,-185.7808327736238,0.46723473838277724,0.07858182428381398,0.20331068806010233
andren_lynx_roedeer_data_5,mammal,5,0.0007981727876888497,0.1774193548387097,0.00014159125012042445,0.3387096774193548,0.16129032258064516,1.0,0.00027027577869773476,0.003975000253278134,True,0.08385702098466263,0.06223386163859003,-157.12889509790142,0.6093694330753725,0.0536697282741066,0.38262056103873976
andren_lynx_roedeer_data_6,mammal,6,0.0026787607061175543,0.1346153846153846,0.00036047241552743085,0.5384615384615385,0.1346153846153846,1.0,0.0014403320621768799,0.013216780568348421,True,0.1009743613228373,0.11270281208021907,-124.48400356467367,0.5346544845007399,0.3771608159702047,0.2609399633289416
andren_lynx_roedeer_data_7,mammal,7,0.0004715419652643589,0.07754943776657619,3.656647713345239e-05,0.5040713454827452,0.07754943776657619,0.8918185343156262,0.0002376343093949672,0.0023521641058962014,True,0.09607718631267544,0.1151943826572867,-107.60684227435534,0.4586644466062361,0.021790031060051746,0.2765847103393843
timeserieslogmeans_WRHW,fish,WRHW,0.026466136973275364,0.011481536214968828,0.0003037796000416637,0.05078309443464456,0.006760829753919818,1.0,0.0013422283349533205,0.11686575894743399,True,0.18711623437705013,0.15824867511208424,-310.8829775510388,4.974621783852351,0.0018549063272012471,0.40299057190916376
timeserieslogmeans_TP,fish,TP,0.006844688070457003,0.2754228703338167,0.001881636404747829,0.07762471166286918,0.03311311214825911,1.0,0.0005310347901129086,0.03309095405981861,True,0.17964047724699275,0.07692703002979852,-311.97000020967744,4.979504987972824,0.34032824319037164,0.8245080953030913
timeserieslogmeans_WRGP,fish,WRGP,0.016154251048700333,0.0066069344800759626,0.00010671868815952312,0.009886186104779059,0.000977237220955811,1.0,0.00015967843097745106,0.07473482927273414,True,0.22833911925258116,0.12311541877246697,-242.11573181522007,1.7501451199159594,0.00366009099691702,0.20057781005147096
