series,group,fitted_k,k_min_rmse,k_max_rmse,width_10pct,rmse_min
lynxhare,mammal,0.1283255570412057,0.0001,0.5,0.4999,0.18946699603541298
glerl_m110_zoop_1994-201,zooplankton,0.004013029535007215,0.0001,0.5,0.4999,0.18195945655059673
andren_lynx_roedeer_data_1,mammal,0.019939136426814996,0.0001,0.215,0.2149,0.063958550782508
andren_lynx_roedeer_data_2,mammal,0.015807117016863458,0.0001,0.12,0.11989999999999999,0.10222113333881662
andren_lynx_roedeer_data_3,mammal,0.002056908082119963,0.0001,0.042169650342858224,0.04206965034285822,0.12185830953671768
andren_lynx_roedeer_data_4,mammal,0.00043605969784964605,0.0001,0.1,0.0999,0.05413391464337024
andren_lynx_roedeer_data_5,mammal,0.07500642347653763,0.0001,0.12,0.11989999999999999,0.07744796280918205
andren_lynx_roedeer_data_6,mammal,0.0010873182857965309,0.0001,0.03162277660168379,0.03152277660168379,0.1125162210182161
andren_lynx_roedeer_data_7,mammal,0.13804611112538254,0.07498942093324558,0.24666666666666667,0.17167724573342108,0.10007386345071698
timeserieslogmeans_WRHW,fish,0.014807844327325792,0.0001,0.5,0.4999,0.173851607774656
timeserieslogmeans_TP,fish,0.00010054070158873376,0.0001,0.5,0.4999,0.16503502836675346
timeserieslogmeans_WRGP,fish,0.025855431439917267,0.0001,0.5,0.4999,0.20900270291246245
