series,group,rmse_normalized_baseline,rmse_normalized_fear_memory,rmse_normalized_bda_fear,improvement_ratio
andren_lynx_roedeer_data_1,mammal,0.13436118855885523,0.08763055692501094,0.06453171287099745,2.0820954935358817
andren_lynx_roedeer_data_2,mammal,4.160112829801161,0.1236508080926924,0.1022641348411631,40.680076512285154
andren_lynx_roedeer_data_3,mammal,0.19352474978710468,0.14465793984209158,0.12209095978936979,1.5850866445883611
andren_lynx_roedeer_data_4,mammal,5.300822119633198,0.10118454002390236,0.0541437205137493,97.9028051514691
andren_lynx_roedeer_data_5,mammal,0.39970382522544207,0.1381397045218317,0.08117665903192431,4.923876271727945
andren_lynx_roedeer_data_6,mammal,0.4414873604783714,0.15580950715165953,0.11273524282748792,3.916143252150114
andren_lynx_roedeer_data_7,mammal,40.773795062794754,0.15135326154658377,0.10024092399931588,406.7579730517351
glerl_m110_zoop_1994-201,zooplankton,0.18195945655059673,0.18195945655059673,0.18195945655059673,1.0
lynxhare,mammal,nan,0.2620564294088813,0.1909927442212431,nan
timeserieslogmeans_TP,fish,0.2035577150981551,0.17093973993802453,0.16503503287782473,1.2334212412273016
timeserieslogmeans_WRGP,fish,nan,0.2114363029883621,0.20900834943529503,nan
timeserieslogmeans_WRHW,fish,nan,0.1794825336068499,0.1740596857669163,nan
