Predation effect,Response measured,Invertebrate or Vertebrate,orgnaim type,specific response measured,year published,citation
TMIE,Abundance,Invertebrate,Insect,density,2014,"Alvarez, M. & Peckarsky, B.L. (2014). Cascading effects of predatory fish on the composition of benthic algae in high-altitude streams. Oikos, 123."
TMIE,Abundance,Vertebrate,Fish,density,2018,"Atwood, T.B., Madin, E.M.P., Harborne, A.R., Hammill, E., Luiz, O.J., Ollivier, Q.R., et al. (2018). Predators shape sedimentary organic carbon storage in a coral reef ecosystem. Front. Ecol. Evol., 6, 1–11."
TMIE,Abundance,Invertebrate,Echinoderm,density,2010,"Babcock, R.C., Shears, N.T., Alcala, A.C., Barrett, N.S., Edgar, G.J., Lafferty, K.D., et al. (2010). Decadal trends in marine reserves reveal differential rates of change in direct and indirect effects. Proc. Natl. Acad. Sci. U. S. A., 107, 18256–18261."
NCE,Fitness correlate,Vertebrate,Fish,Condition,2017,"Barley, S., Meekan, M. & Meeuwig, J. (2017). Diet and habitat use of mesopredatory reef fishes in relation to shark abundance. Limnol. Oceanogr., 565, 1–19."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2018,"Beschta, R.L., Painter, L.E. & Ripple, W.J. (2018). Trophic cascades at multiple spatial scales shape recovery of young aspen in Yellowstone. For. Ecol. Manage., 413, 62–69."
NCE,Fitness correlate,Vertebrate,Fish,"Growth, Reproduction",2011,"Billman, E.J., Tjarks, B.J. & Belk, M.C. (2011). Effect of predation and habitat quality on growth and reproduction of a stream fish. Ecol. Freshw. Fish, 20, 102–113."
TMIE,Fitness correlate,Vertebrate,Mammal,Biomass,2013,"Burkholder, D.A., Heithaus, M.R., Fourqurean, J.W., Wirsing, A. & Dill, L.M. (2013). Patterns of top-down control in a seagrass ecosystem: Could a roving apex predator induce a behaviour-mediated trophic cascade? J. Anim. Ecol., 82, 1192–1202."
TMIE,Abundance,Invertebrate,Echinoderm,density,2006,"Byrnes, J., Stachowicz, J.J., Hultgren, K.M., Randall Hughes, A., Olyarnik, S. V. & Thornber, C.S. (2006). Predator diversity strengthens trophic cascades in kelp forests by modifying herbivore behaviour. Ecol. Lett., 9, 61–71."
NCE,Abundance,Vertebrate,Mammal,density,2014,"Christianson, D. & Creel, S. (2014). Ecosystem Scale Declines in Elk Recruitment and Population Growth with Wolf Colonization : A Before- After-Control-Impact Approach. PLoS One, 9, doi:10.1371/journal.pone.0102330."
NCE,Fitness correlate,Vertebrate,Mammal,Reproduction,2009,"Creel, S., Winnie, J.A. & Christianson, D. (2009). Glucocorticoid stress hormones and the effect of predation risk on elk reproduction. Proc. Natl. Acad. Sci. U. S. A., 106, 12388–12393."
TMIE,Abundance,Invertebrate,Crustacean,density,2013,"Dalton, C.M., Mokiao-Lee, A., Sakihara, T.S., Weber, M.G., Roco, C.A., Han, Z., et al. (2013). Density- and trait-mediated top-down effects modify bottom-up control of a highly endemic tropical aquatic food web. Oikos, 122, 790–800."
TMIE,Fitness correlate,Invertebrate,Mollusca,Tissue,2015,"Davidson, A., Griffin, J.N., Angelini, C., Coleman, F., Atkins, R.L. & Silliman, B.R. (2015). Non-consumptive predator effects intensify grazer-plant interactions by driving vertical habitat shifts. Mar. Ecol. Prog. Ser., 537, 49–58."
NCE,Fitness correlate,Vertebrate,Fish,Reproduction,2018,"Davis, A.C.D. (2018). Differential effects of native vs. invasive predators on a common Caribbean reef fish. Environ. Biol. Fishes, 101, 1537–1548."
NCE,Fitness correlate,Vertebrate,Mammal,"Condition, Mortality, Reproduction",2017,"DeWitt, P.D., Schuler, M.S., Visscher, D.R. & Thiel, R.P. (2017). Nutritional state reveals complex consequences of risk in a wild predator – prey community. Proc. R. Soc. B Biol. Sci., 284, 10–12."
