series,study,pathway,fear_parameter,ci95_lower,ci95_upper,ci95_includes_zero,ci95_lower_at_grid_boundary,ci95_upper_at_grid_boundary
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_foraging,psi,0.0,2.036974304985001e-06,True,True,True
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_handling,psi,1.2283459114488308e-06,0.0001228345911448831,False,False,True
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_instant,phi,0.2336163226630811,0.2336163226630811,False,False,False
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_memory,phi,0.267871242466481,0.267871242466481,False,False,False
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_saturating,phi,0.0,0.99,True,True,True
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_foraging,psi,0.0,7.973960643392194e-05,True,True,True
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,psi,0.0,0.0001361072720893074,True,True,True
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_instant,phi,0.07149577682289494,0.7149577682289494,False,False,False
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_memory,phi,0.0,0.7158444302066144,True,True,False
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_saturating,phi,0.0,0.99,True,True,True
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,psi,0.0,8.781510069854148e-05,True,True,True
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,psi,0.0,0.00038150807198555816,True,True,True
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.0,0.8605033590610849,True,True,False
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,0.7775233384497491,0.7775233384497491,False,False,False
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,phi,0.0,0.027233377345295906,True,True,True
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,psi,0.0,0.00010791714524146986,True,True,True
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,psi,1.2450494471654576e-06,0.00012450494471654577,False,False,True
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,phi,0.8425667338542934,0.8425667338542934,False,False,False
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,phi,0.657257326415663,0.657257326415663,False,False,False
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,phi,6.644569996247051e-06,6.644569996247051e-06,False,False,False
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,psi,1.4008472510695437e-05,1.4008472510695437e-05,False,False,False
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,psi,1.3632776678626225e-05,1.3632776678626225e-05,False,False,False
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,phi,1e-09,3.0000000000000004e-08,True,False,False
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,phi,nan,nan,False,False,False
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,phi,0.0,0.99,True,True,True
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_foraging,psi,4.673870853190229e-06,4.673870853190229e-06,False,False,False
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_handling,psi,0.0,4.592307692307692,True,True,True
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,phi,0.3943750894645769,3.9437508946457687,False,False,True
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_memory,phi,0.0,1e-07,True,True,True
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_saturating,phi,0.0,0.99,True,True,True
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_foraging,psi,0.0,0.00013259692628118136,True,True,True
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_handling,psi,0.0,0.0001372912650079585,True,True,True
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_instant,phi,0.35952095711367804,3.59520957113678,False,False,True
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_memory,phi,0.4422918368007238,0.4422918368007238,False,False,False
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_saturating,phi,0.45300641280399045,0.45300641280399045,False,False,False
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_foraging,psi,0.0,0.2,True,True,True
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_handling,psi,0.0,0.2,True,True,True
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.0,0.2,True,True,True
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.0,0.2,True,True,True
