series,study,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_parameter,fear_value,parameter_bound_hits,objective_value,n_parameters,initial_memory_scheme,m0,delta
lynxhare,hudson_bay_lynx_hare,fear_memory,0.32211166698908433,0.11087978483855503,-202.2358170468705,success,True,phi,0.08655973169661961,K,9.960570772640578,7,predator_initial,4.0,1.0
lynxhare,hudson_bay_lynx_hare,fear_memory,0.32211166698908433,0.11087978483855503,-202.2358170468705,success,True,phi,0.08655973169661961,K,9.960570772640578,7,predator_initial_quasi_steady,4.0,1.0
lynxhare,hudson_bay_lynx_hare,fear_memory,0.32255773023849055,0.11118752126435963,-201.9701175800678,success,True,phi,0.0906537446519728,K,9.988175913053045,7,early_predator_mean_quasi_steady,6.0,1.0
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.02,,10.699450805046741,7,predator_initial,0.0,1.0
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.02,,10.699450805046741,7,predator_initial_quasi_steady,0.0,1.0
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.02,,10.699450805046741,7,early_predator_mean_quasi_steady,0.0,1.0
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_memory,0.07306224060709893,0.06409748590549634,-181.11637951000566,success,True,phi,0.267871242466481,,0.2028489498415325,7,predator_initial,4.102564102564103,1.0
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_memory,0.07306224060709893,0.06409748590549634,-181.11637951000566,success,True,phi,0.267871242466481,,0.2028489498415325,7,predator_initial_quasi_steady,4.102564102564103,1.0
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_memory,0.07306224060709893,0.06409748590549634,-181.11637951000566,success,True,phi,0.267871242466481,,0.2028489498415325,7,early_predator_mean_quasi_steady,4.102564102564103,1.0
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_memory,0.0980606197034218,0.08143309514131576,-158.7515428256015,success,True,phi,0.7158444302066144,,0.36540280878529435,7,predator_initial,1.2023217247097844,1.0
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_memory,0.0980606197034218,0.08143309514131576,-158.7515428256015,success,True,phi,0.7158444302066144,,0.36540280878529435,7,predator_initial_quasi_steady,1.2023217247097844,1.0
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_memory,0.09804345300498898,0.08190236231887099,-158.76484871023922,success,True,phi,0.7174900285182336,,0.3652748922071619,7,early_predator_mean_quasi_steady,1.1885019347705914,1.0
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,0.24685897462109843,0.13983811985322883,-88.58595910209371,success,True,phi,0.7775233384497491,K;e,2.3156979662061543,7,predator_initial,1.033434650455927,1.0
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,0.24685897462109843,0.13983811985322883,-88.58595910209371,success,True,phi,0.7775233384497491,K;e,2.3156979662061543,7,predator_initial_quasi_steady,1.033434650455927,1.0
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,0.11365099350264697,0.07383690205970375,-147.53801367467773,usable_limit,True,phi,0.5283319015239764,,0.4908279649978487,7,early_predator_mean_quasi_steady,1.4184397163120568,1.0
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,0.15118363915983196,0.055352436871259555,-118.02672199485582,usable_limit,True,phi,0.657257326415663,a;theta;e,0.8228166521829523,7,predator_initial,1.7006802721088434,1.0
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,0.15118363915983196,0.055352436871259555,-118.02672199485582,usable_limit,True,phi,0.657257326415663,a;theta;e,0.8228166521829523,7,predator_initial_quasi_steady,1.7006802721088434,1.0
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,0.4039877075720245,0.20697138859502742,-47.2586996365784,success,True,phi,2.672727272727273,r;K;a;theta;e;mu;phi,5.875418457443504,7,early_predator_mean_quasi_steady,2.1919879062736203,1.0
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,0.45525322037004845,0.27803198563213133,-38.656907031585575,success,True,phi,2.8264200587186856,r;K;a;theta;e;mu;phi,7.461197817637678,7,predator_initial,0.6271379703534778,1.0
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,0.45525322037004845,0.27803198563213133,-38.656907031585575,success,True,phi,2.8264200587186856,r;K;a;theta;e;mu;phi,7.461197817637678,7,predator_initial_quasi_steady,0.6271379703534778,1.0
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,0.4608694053517917,0.2780319802124748,-37.77412044163509,success,True,phi,2.8061935100441087,r;K;a;theta;e;mu;phi,7.646421937680601,7,early_predator_mean_quasi_steady,1.0262257696693273,1.0
