series,study,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_parameter,fear_value,parameter_bound_hits,objective_value,n_parameters
lynxhare,hudson_bay_lynx_hare,baseline,0.5765478346862342,0.11132219247939223,-92.78999771023868,failed,False,,,,96000000000000.0,6
lynxhare,hudson_bay_lynx_hare,fear_instant,0.31630923302080266,0.15487046320279252,-205.7259847379626,success,True,phi,3.15812121059403e-08,K;a;theta;e;mu,9.604900660668235,7
lynxhare,hudson_bay_lynx_hare,fear_memory,0.32211166698908433,0.11087978483855503,-202.2358170468705,success,True,phi,0.08655973169661961,K,9.960570772640578,7
lynxhare,hudson_bay_lynx_hare,fear_saturating,0.3163092393692422,0.15487366814010817,-205.72598088445386,success,True,phi,0.00019248073398372674,K;e;mu,9.604901044534968,7
lynxhare,hudson_bay_lynx_hare,fear_foraging,0.3073405529588138,0.1379531568311899,-211.24865253790333,usable_limit,True,psi,0.17329061729534478,K;e;mu,9.067956899445337,7
lynxhare,hudson_bay_lynx_hare,fear_handling,0.3163070385228828,0.1548733596772394,-205.72731680487132,success,True,psi,0.16642977351194005,K;mu,9.604767396174811,7
glerl_m110_zoop_1994-201,glerl_zooplankton,baseline,0.1954797286261119,0.29628651205670775,-901.7795207942494,success,True,,,,10.699450805046741,6
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.02,,10.699450805046741,7
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.02,,10.699450805046741,7
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,phi,0.2,,10.699450805046741,7
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_foraging,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,psi,0.02,,10.699450805046741,7
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_handling,0.1954797286261119,0.29628651205670775,-899.6754483960593,success,True,psi,0.02,,10.699450805046741,7
andren_lynx_roedeer_data_1,andren_lynx_roedeer,baseline,0.3253481061003914,0.30636926177757007,-70.62765021776318,success,True,,,,4.022516521632985,6
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_instant,0.059396155202262435,0.06724560813696051,-196.85462609434038,usable_limit,True,phi,0.2336163226630811,,0.1340585249698475,7
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_memory,0.07306224060709893,0.06409748590549634,-181.11637951000566,success,True,phi,0.267871242466481,,0.2028489498415325,7
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_saturating,0.058288025282550164,0.07029504402924805,-198.28592064391472,usable_limit,True,phi,0.16100101667983846,,0.1291035260455921,7
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_foraging,0.06020107656042441,0.06964364028408328,-195.8316099927104,usable_limit,True,psi,2.0369743049850012e-07,e,0.1377157035644932,7
andren_lynx_roedeer_data_1,andren_lynx_roedeer,fear_handling,0.3080049354356609,0.2707104127134051,-71.76726653830121,success,True,psi,1.2283459114488308e-05,,3.604960939234939,7
andren_lynx_roedeer_data_2,andren_lynx_roedeer,baseline,0.10312463547295483,0.09677729533638302,-157.94841223538018,success,True,,,e,0.40409925852898176,6
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_instant,0.09809972959531822,0.07855439679736813,-158.72123749800454,usable_limit,True,phi,0.7149577682289494,,0.3656909947956437,7
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_memory,0.0980606197034218,0.08143309514131576,-158.7515428256015,success,True,phi,0.7158444302066144,,0.36540280878529435,7
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_saturating,0.10283095188508881,0.09335494231367515,-155.14150176727424,usable_limit,True,phi,0.2545137145568752,e,0.40180757810703327,7
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_foraging,0.10308413392681293,0.09520269922227395,-154.95461070204058,usable_limit,True,psi,7.973960643392194e-06,e,0.40376718629637015,7
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,0.12990087206716458,0.17086620883834194,-137.38142345524867,success,True,psi,1.3610727208930738e-05,K;e,0.6412418606864458,7
andren_lynx_roedeer_data_3,andren_lynx_roedeer,baseline,0.11302175787149146,0.07552098556856113,-150.9836173571174,success,True,,,K,0.485377614974875,6
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,0.11302180249993775,0.07552063515840843,-147.95993143333095,success,True,phi,0.28683445302036165,K,0.4853780010808101,7
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,0.24685897462109843,0.13983811985322883,-88.58595910209371,success,True,phi,0.7775233384497491,K;e,2.3156979662061543,7
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_saturating,0.11302286647391012,0.07561921382350388,-147.95921598162604,usable_limit,True,phi,0.0027233377345295905,K,0.48538690267260426,7
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_foraging,0.11302158129603476,0.07552089494758092,-147.9600801790836,success,True,psi,8.781510069854148e-06,K,0.485376093623224,7
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_handling,0.11302379227107082,0.07551350175872577,-147.95859345011328,success,True,psi,3.815080719855582e-05,K,0.4853951197750243,7
andren_lynx_roedeer_data_4,andren_lynx_roedeer,baseline,0.23150278701196073,0.18148340023865037,-90.45121067104476,success,True,,,K,1.9293236054381422,6
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_instant,0.14325885938894484,0.18781476280842457,-121.90334973498483,usable_limit,True,phi,0.8425667338542934,,0.7387528762183165,7
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_memory,0.15118363915983196,0.055352436871259555,-118.02672199485582,usable_limit,True,phi,0.657257326415663,a;theta;e,0.8228166521829523,7
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_saturating,0.23136955422675268,0.18356808822694998,-87.38921123515543,usable_limit,True,phi,6.64456999624705e-05,K,1.9270768378647396,7
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_foraging,0.4212353785858095,0.19015578338953937,-44.24857254047088,success,True,psi,1.0791714524146985e-05,,6.387844959476951,7
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,0.5792719128463694,0.21290215962760714,-21.31079664224697,success,True,psi,1.2450494471654576e-05,,12.080015901676827,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,baseline,0.2830086478254443,0.3691174117383932,-75.98745161240801,usable_limit,True,,,K;e,2.8833198578872636,6
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,0.30375868961529506,0.3545560588450304,-67.78956074037079,usable_limit,True,phi,9.999999999999982e-09,K;phi,3.321339475672045,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,0.45525322037004845,0.27803198563213133,-38.656907031585575,success,True,phi,2.8264200587186856,r;K;a;theta;e;mu;phi,7.461197817637678,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,0.21649427885911626,0.23395729503796794,-92.17376333868607,usable_limit,True,phi,0.4426874116226214,r;K;e;mu,1.6873118394989328,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,1.5683544731516963,0.21597826124190495,50.40194136767563,success,True,psi,1.4008472510695437e-05,,88.55048712441967,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,1.4191478804076798,0.21597825948352967,43.204075723485175,success,True,psi,1.3632776678626225e-05,,72.50330543278429,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,baseline,0.3974701874768847,0.251655205499681,-43.688662256547026,success,True,,,K;theta;e;mu,5.055435638473739,6
