study,model,n_series,comparison_set,median_training_rmse,median_validation_rmse,median_aicc,bound_hit_fraction
andren_lynx_roedeer,baseline,7,complete_cases_all_six_models,0.23150278701196073,0.18148340023865037,-90.45121067104476,0.7142857142857143
andren_lynx_roedeer,fear_foraging,7,complete_cases_all_six_models,0.4212353785858095,0.19015578338953937,-44.24857254047088,0.42857142857142855
andren_lynx_roedeer,fear_handling,7,complete_cases_all_six_models,0.39746203218037507,0.21597825948352967,-40.38330875586791,0.42857142857142855
andren_lynx_roedeer,fear_instant,7,complete_cases_all_six_models,0.14325885938894484,0.18781476280842457,-121.90334973498483,0.5714285714285714
andren_lynx_roedeer,fear_memory,7,complete_cases_all_six_models,0.24685897462109843,0.13983811985322883,-88.58595910209371,0.7142857142857143
andren_lynx_roedeer,fear_saturating,7,complete_cases_all_six_models,0.21649427885911626,0.18356808822694998,-92.17376333868607,0.7142857142857143
glerl_zooplankton,baseline,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-901.7795207942494,0.0
glerl_zooplankton,fear_foraging,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-899.6754483960593,0.0
glerl_zooplankton,fear_handling,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-899.6754483960593,0.0
glerl_zooplankton,fear_instant,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-899.6754483960593,0.0
glerl_zooplankton,fear_memory,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-899.6754483960593,0.0
glerl_zooplankton,fear_saturating,1,complete_cases_all_six_models,0.1954797286261119,0.29628651205670775,-899.6754483960593,0.0
killifish_mosquitofish,baseline,1,complete_cases_all_six_models,0.21353029044860902,0.2788490930899647,-283.4996832772344,1.0
killifish_mosquitofish,fear_foraging,1,complete_cases_all_six_models,0.21383057169556904,0.29372910327095636,-280.9009620557193,1.0
killifish_mosquitofish,fear_handling,1,complete_cases_all_six_models,0.21342817512367646,0.28107069266551477,-281.2626172130307,1.0
killifish_mosquitofish,fear_instant,1,complete_cases_all_six_models,0.21298651525314222,0.2673950875991796,-281.6603461251897,1.0
killifish_mosquitofish,fear_memory,1,complete_cases_all_six_models,0.31071140002668757,0.3353757360033404,-209.15430091829168,0.0
killifish_mosquitofish,fear_saturating,1,complete_cases_all_six_models,0.2136516952591841,0.27652634672656395,-281.0616437047385,1.0
