experiment,generating_pathway,candidate_pathway,training_rmse,validation_rmse,aicc,optimization_status,fitted_fear_strength,winner,correctly_recovered
fixed_core_single_parameter,fear_instant,fear_instant,0.0006382046474092215,,,success,0.07994258309319306,fear_instant,True
fixed_core_single_parameter,fear_instant,fear_memory,0.02915834204871349,,,success,0.050649181864030696,fear_instant,True
fixed_core_single_parameter,fear_instant,fear_saturating,0.02436733116137632,,,success,0.9899936040523951,fear_instant,True
fixed_core_single_parameter,fear_instant,fear_foraging,0.6807487517931388,,,success,5.628673589008228e-06,fear_instant,True
fixed_core_single_parameter,fear_instant,fear_handling,0.6807172803689402,,,success,6.490373919548475e-06,fear_instant,True
joint_core_and_fear_refit,fear_instant,fear_instant,0.032370853774495,0.03461546567404387,-312.52769624691877,usable_limit,0.15553147626292574,fear_handling,False
joint_core_and_fear_refit,fear_instant,fear_memory,0.09455708049764724,0.27918090517905025,-209.62095363867346,success,0.0018652822885406794,fear_handling,False
joint_core_and_fear_refit,fear_instant,fear_saturating,0.032969424996545794,0.022562989993772715,-310.7687675762309,usable_limit,0.4816129541366468,fear_handling,False
joint_core_and_fear_refit,fear_instant,fear_foraging,0.00652169471941227,0.03092397307904044,-466.33161701072027,usable_limit,2.6564175589354195e-05,fear_handling,False
joint_core_and_fear_refit,fear_instant,fear_handling,0.00540561724431032,0.026003235660637978,-484.35039702228784,usable_limit,6.878427302748382e-05,fear_handling,False
fixed_core_single_parameter,fear_memory,fear_instant,0.03883538640420697,,,success,0.1358532592270838,fear_memory,True
fixed_core_single_parameter,fear_memory,fear_memory,0.00034577235017944533,,,success,0.07998439609167919,fear_memory,True
fixed_core_single_parameter,fear_memory,fear_saturating,0.24888344885852495,,,success,0.9899940987476233,fear_memory,True
fixed_core_single_parameter,fear_memory,fear_foraging,1.1307141727777104,,,success,0.14285820139596053,fear_memory,True
fixed_core_single_parameter,fear_memory,fear_handling,1.1269384993955882,,,success,0.3594297210550933,fear_memory,True
joint_core_and_fear_refit,fear_memory,fear_instant,0.02584654470337571,0.027787103885498522,-334.13552199770646,usable_limit,0.10227497701835242,fear_saturating,False
joint_core_and_fear_refit,fear_memory,fear_memory,0.02380887225117156,0.013734569417657693,-342.018910474426,usable_limit,0.18600882242668132,fear_saturating,False
joint_core_and_fear_refit,fear_memory,fear_saturating,0.02375970315761508,0.03280514287663882,-342.217370681482,usable_limit,0.99,fear_saturating,False
joint_core_and_fear_refit,fear_memory,fear_foraging,0.031236647186989833,0.028704091033997924,-315.95167527652256,usable_limit,1.7073948082975932e-07,fear_saturating,False
joint_core_and_fear_refit,fear_memory,fear_handling,0.03132733507359451,0.028492856697561415,-315.6733668026388,usable_limit,2.3041959267745745e-06,fear_saturating,False
fixed_core_single_parameter,fear_saturating,fear_instant,0.022555254998044456,,,success,0.04540643003113875,fear_saturating,True
fixed_core_single_parameter,fear_saturating,fear_memory,0.022662558913965666,,,success,0.030579347056398153,fear_saturating,True
fixed_core_single_parameter,fear_saturating,fear_saturating,0.0007734128847627571,,,success,0.699344697981298,fear_saturating,True
fixed_core_single_parameter,fear_saturating,fear_foraging,0.3802210884134075,,,success,5.628673589008228e-06,fear_saturating,True
fixed_core_single_parameter,fear_saturating,fear_handling,0.3801943891084506,,,success,5.628673589008228e-06,fear_saturating,True
joint_core_and_fear_refit,fear_saturating,fear_instant,0.07809094738495641,0.3158560200189271,-227.98858938418402,success,0.06896747546314651,fear_saturating,True
joint_core_and_fear_refit,fear_saturating,fear_memory,0.048481839767956204,0.23194323962504437,-273.75033493748407,usable_limit,0.03551038201608142,fear_saturating,True
joint_core_and_fear_refit,fear_saturating,fear_saturating,0.03150705339278649,0.06749485858004294,-315.1242087345556,usable_limit,0.18241750463639958,fear_saturating,True
joint_core_and_fear_refit,fear_saturating,fear_foraging,0.044519791905298714,0.21090076012767628,-281.9348569699567,usable_limit,1.5139856353458192e-05,fear_saturating,True
joint_core_and_fear_refit,fear_saturating,fear_handling,0.07601209881260812,0.11433435995252275,-230.5788246204702,usable_limit,7.861118201056358e-07,fear_saturating,True
fixed_core_single_parameter,fear_foraging,fear_instant,0.5362108686226904,,,success,0.11509702046840109,fear_foraging,True
fixed_core_single_parameter,fear_foraging,fear_memory,0.5474179479746429,,,success,0.06747151230612154,fear_foraging,True
fixed_core_single_parameter,fear_foraging,fear_saturating,0.5614184360004922,,,success,0.9899940987476233,fear_foraging,True
fixed_core_single_parameter,fear_foraging,fear_foraging,0.00026538020101557675,,,success,0.3499890164088916,fear_foraging,True
fixed_core_single_parameter,fear_foraging,fear_handling,0.016542768883028695,,,success,0.8360298375682181,fear_foraging,True
joint_core_and_fear_refit,fear_foraging,fear_instant,0.19075977003882177,0.3885368696476141,-142.24707754107175,usable_limit,0.09192689530082744,fear_memory,False
joint_core_and_fear_refit,fear_foraging,fear_memory,0.011246273534108779,0.08296271088229949,-414.02097087521423,usable_limit,0.00018874873289671354,fear_memory,False
joint_core_and_fear_refit,fear_foraging,fear_saturating,0.20593919274491623,0.45830028641931625,-134.89673612322423,usable_limit,0.02658401305710095,fear_memory,False
joint_core_and_fear_refit,fear_foraging,fear_foraging,0.20413823221546384,0.47290448854240125,-135.73995894833683,usable_limit,0.761391539651692,fear_memory,False
joint_core_and_fear_refit,fear_foraging,fear_handling,0.05946221188843466,0.03912306960034214,-254.15176920003802,usable_limit,2.3303118241717128e-05,fear_memory,False
fixed_core_single_parameter,fear_handling,fear_instant,0.4833307892257107,,,success,0.03670414949647265,fear_handling,True
fixed_core_single_parameter,fear_handling,fear_memory,0.48867055106093116,,,success,0.02392085224728241,fear_handling,True
fixed_core_single_parameter,fear_handling,fear_saturating,0.47873802785025477,,,success,0.5850390382636268,fear_handling,True
fixed_core_single_parameter,fear_handling,fear_foraging,0.008729868678878039,,,success,0.13938722886714583,fear_handling,True
