k,u_mean,v_mean,amplitude_u,amplitude_v,rel_amplitude_u,peak_decay_ratio,n_peaks,re_max,stability,status
0.0,11.407464198576893,13.069206009422842,2.9448354865735382e-08,4.8313260947452363e-08,2.5814987759864396e-09,1.0000000294876128,5,-0.627988391909258,stable_node,coexist
0.005,10.131441026620568,11.495443927223306,2.2326252135940194e-07,2.2793755505290392e-07,2.203660079279691e-08,1.0000000693996218,9,-0.795602177583164,stable_focus,coexist
0.01,9.215719449360577,10.366053981393904,2.0106042519785206e-07,2.376953354144007e-07,2.1817116536875743e-08,0.9999997913314521,11,-0.7418878584945761,stable_focus,coexist
0.015,8.513017518573482,9.499388282315024,1.839285346250108e-07,2.3221023681685438e-07,2.1605562801171296e-08,1.000000026051468,9,-0.7006155521760926,stable_focus,coexist
0.02,7.950058858267195,8.805072593275153,1.717765956144035e-07,2.7412562353390513e-07,2.160695897688538e-08,0.9999999821203704,7,-0.667440830246665,stable_focus,coexist
0.025,7.485205630558363,8.231753611679979,1.8559764214387542e-07,2.3442640717519225e-07,2.479526298999359e-08,1.0000000503756243,6,-0.6399243670686023,stable_focus,coexist
0.03,7.092617331170544,7.747561361848028,1.488060314969175e-07,1.49944483496256e-07,2.098041168003618e-08,0.9999999072835848,6,-0.6165643666899114,stable_focus,coexist
0.035,6.755210221335253,7.331425941982616,1.609634612265154e-07,1.9097444337035085e-07,2.3828046197309742e-08,1.0000000901107602,5,-0.5963735273663222,stable_focus,coexist
0.04,6.46113716190067,6.96873584038426,1.9849456656118036e-07,1.6969675975531118e-07,3.072130518009144e-08,1.0000000530430828,4,-0.5786699564297786,stable_focus,coexist
0.045,6.201868739156154,6.648971439860461,1.543434233752805e-07,1.7049549505543382e-07,2.488659948586415e-08,1.0000001322274046,4,-0.5629641842176615,stable_focus,coexist
0.05,5.971075714916913,6.364326719956564,1.702326271058041e-07,1.635532518307059e-07,2.8509540865564603e-08,1.0000000130887567,3,-0.548893796648584,stable_focus,coexist
0.055,5.763943006640252,6.108863031559314,1.5220248350544807e-07,1.3624755546004508e-07,2.64059660774067e-08,0.9999999561402264,3,-0.5361835169773268,stable_focus,coexist
0.06,5.576729943574022,5.87796692003711,1.2863052045730683e-07,1.4299841577525285e-07,2.3065581758271397e-08,0.9999999862248914,3,-0.5246197330353175,stable_focus,coexist
0.065,5.406478275325694,5.6679898733472465,1.4599723474617576e-07,1.3112458319142206e-07,2.7004128623337656e-08,0.9999999781414493,2,-0.514033637893541,stable_focus,coexist
0.07,5.250812222799955,5.476001736970811,1.1400226451740991e-07,1.5884828741263846e-07,2.171135810615964e-08,1.0000001636114073,3,-0.5042897217925104,stable_focus,coexist
0.075,5.10779799938063,5.299617520531676,1.6602574692825556e-07,1.4901830791558268e-07,3.2504368212757785e-08,0.9999998708656814,3,-0.49527770646319313,stable_focus,coexist
0.08,4.975842883727709,5.136872878711369,1.676640124514961e-07,1.5287128984908804e-07,3.36956001966623e-08,1.0000002345389902,4,-0.48690676115126363,stable_focus,coexist
0.085,4.853621258221769,4.986132898954939,1.21087001758724e-07,1.2453625064523521e-07,2.4947764837153135e-08,1.0000002368260803,2,-0.4791012708614373,stable_focus,coexist
0.09,4.740019449417972,4.846024004031866,1.1669336608122194e-07,8.919888649927543e-08,2.4618752586669393e-08,1.0000004875765425,4,-0.4717976849422902,stable_focus,coexist
0.095,4.634093869279828,4.715382448734807,8.507631754639533e-08,8.175818955180603e-08,1.835878166180022e-08,1.0000004121417443,4,-0.4649421329301368,stable_focus,coexist
0.1,4.535038968748071,4.593214711368225,5.1408811430064816e-08,3.057078235002564e-08,1.1335913932456587e-08,0.9999999606075372,4,-0.4584885952058392,stable_focus,coexist
