series,model,rmse_total,rmse_prey,rmse_predator,success,source_file,detection_method,confidence,time_col,prey_col,predator_col,group_key,K,a,c,d,delta,e,k,m,m0,mu,p,phi,q,r,theta,u0,u_scale,v0,v_scale,x0,y0
lynxhare,baseline,120066.12018825056,169799.13398997654,23.02982524503882,True,/home/scc/pb23151824/project/data/raw/03_hudson_bay_lynx_hare/lynxhare.csv,lynx_hare_signature,0.95,year,hare,lynx,,205061.9999999999,0.04000000000000001,,,,0.3,,,,0.5,,,,1.0,19.999999999999996,,,,,30.0,4.0
lynxhare,fear_memory,14947.350429928718,21138.735118072567,21.150842680999915,False,/home/scc/pb23151824/project/data/raw/03_hudson_bay_lynx_hare/lynxhare.csv,lynx_hare_signature,0.95,year,hare,lynx,,76664.47358684216,0.4924841085800362,,,1.0,0.3,,,4.0,0.5,,0.044415491430005935,,1.2621645704342177,0.26293633418378326,,,,,30.0,4.0
lynxhare,bda_fear,0.1909927442212344,0.19868869586588558,0.18297338283321257,False,/home/scc/pb23151824/project/data/raw/03_hudson_bay_lynx_hare/lynxhare.csv,lynx_hare_signature,0.95,year,hare,lynx,,,0.8497580550855133,0.10276922611125215,0.021590871510908285,,,0.1283255570412057,0.0629353599370571,,,4.965573987062407,,0.010795073784668823,1.067004653954152,,0.0002925944348538491,102531.0,0.04,100.0,,
glerl_m110_zoop_1994-201,baseline,7.727301955127306,10.907836261540206,0.6644539885177474,True,/home/scc/pb23151824/project/data/raw/04_lake_michigan_zooplankton/GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,JulianDay,D.mendotae,Bythotrephes,,149.89400000000006,0.04000000000000001,,,,0.3,,,,0.5,,,,1.0,19.999999999999996,,,,,0.0,0.0
glerl_m110_zoop_1994-201,fear_memory,7.727301955127306,10.907836261540206,0.6644539885177474,True,/home/scc/pb23151824/project/data/raw/04_lake_michigan_zooplankton/GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,JulianDay,D.mendotae,Bythotrephes,,55.486889334115034,0.021300443938595794,,,1.0,0.3,,,0.0,0.5,,0.0029921939167326488,,0.6869967782067665,2.737497351458527,,,,,0.0,0.0
glerl_m110_zoop_1994-201,bda_fear,0.18195945655059673,0.1455406655575301,0.21221781811489857,True,/home/scc/pb23151824/project/data/raw/04_lake_michigan_zooplankton/GLERL_M110_Zoop_1994-2012.txt,zooplankton_glerl,0.93,JulianDay,D.mendotae,Bythotrephes,,,0.005618778798128722,1.4825312495817657,0.0798411187288086,,,0.004013029535007215,0.14209753714683165,,,0.6286158991490101,,0.2179576784107185,0.369223774784169,,0.0,74.947,0.0,3.131,,
andren_lynx_roedeer_data_1,baseline,25.939984713027567,36.68312964006602,0.33706621651761587,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,108.80341880341885,0.937308947399293,,,,0.3,,,,0.5,,,,1.0207965907060945,0.6633710213483369,,,,,217.60683760683762,4.102564102564103
andren_lynx_roedeer_data_1,fear_memory,16.291097179994036,23.036941257136647,0.31469377377810537,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,119.04524247093073,0.1904730981608417,,,1.0,0.3,,,4.102564102564103,0.5,,0.13232870916374703,,0.9851916258840112,0.12492171397690276,,,,,217.60683760683762,4.102564102564103
andren_lynx_roedeer_data_1,bda_fear,0.0645317128705346,0.0567393260063584,0.07147959720335882,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,1,,0.8493187117506393,0.13739593789352514,0.03151023390497852,,,0.019939136426814996,0.13710945252804682,,,1.8048935733789369,,0.07269401443986004,0.8547222775967415,,1.0,217.60683760683762,1.0,4.102564102564103,,
andren_lynx_roedeer_data_2,baseline,8.05976837954702,11.397002487617048,0.1675319705095742,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,41.74958540630182,0.827356740678372,,,,0.3,,,,0.5,,,,0.6583874124767214,0.505443500335035,,,,,83.49917081260365,1.2023217247097844
andren_lynx_roedeer_data_2,fear_memory,8.31275632053486,11.754809524890252,0.16819132776077803,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,42.24147797930466,0.4059610703114754,,,1.0,0.3,,,1.2023217247097844,0.5,,0.007501630828505403,,1.2817924892714163,0.23684372993855987,,,,,83.49917081260365,1.2023217247097844
andren_lynx_roedeer_data_2,bda_fear,0.10226413484104137,0.0740060803054,0.12425379924736334,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,,0.6552119245148338,0.2763845593647259,0.12144856895291069,,,0.015807117016863458,0.10050443672066095,,,1.1173691659343357,,0.25407611522191775,0.7553443302912184,,1.0,83.49917081260365,0.90625,1.3266998341625207,,
andren_lynx_roedeer_data_3,baseline,37.637512344292844,53.22647625604062,0.32694999424565235,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,138.05471124620064,1.0,,,,0.3,,,,0.5,,,,0.8020540908941054,0.6221558648602697,,,,,276.1094224924012,1.033434650455927
andren_lynx_roedeer_data_3,fear_memory,24.321933885015007,34.394740470343685,0.3387680501237694,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,140.20442239963873,0.7442843811009983,,,1.0,0.3,,,1.033434650455927,0.5,,0.1905664334815705,,0.4788252926866953,0.45152429756074935,,,,,276.1094224924012,1.033434650455927
andren_lynx_roedeer_data_3,bda_fear,0.12209095978936407,0.08565130069883331,0.1499208444919327,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,,0.2370956664372029,0.34884172156432564,1.0839002981693462,,,0.002056908082119963,0.1019077502359492,,,1.176738155165624,,0.013486799777300055,1.511415538929359,,1.0,276.1094224924012,0.6296296296296297,1.6413373860182372,,
andren_lynx_roedeer_data_4,baseline,111.1043862731309,157.1189009463373,1.4213597972362084,True,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,316.6950113378686,0.040778394486725746,,,,0.3,,,,0.5,,,,0.742916755187752,19.947819158537076,,,,,633.390022675737,1.7006802721088434
andren_lynx_roedeer_data_4,fear_memory,85.40069136999514,120.77246482260499,0.7536004372135314,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,317.40255215550275,0.3764681541571658,,,1.0,0.3,,,1.7006802721088434,0.5,,0.18528215529660938,,1.668476963086524,0.24663648588501247,,,,,633.390022675737,1.7006802721088434
andren_lynx_roedeer_data_4,bda_fear,0.05414372051374734,0.03670716087616593,0.06719872976889402,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,,0.3821354354249806,1.968669738736218,0.06934092082493518,,,0.00043605969784964605,0.29347492815241755,,,0.6671681472007347,,0.00453907975811765,0.30900311802670594,,1.0,633.390022675737,0.45454545454545453,3.7414965986394555,,
andren_lynx_roedeer_data_5,baseline,286.05493567239756,404.53902978203524,1.7394907555567471,True,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,715.2793614595214,0.04002288643154402,,,,0.3,,,,0.5,,,,0.6568332361519799,19.913617851147585,,,,,1430.5587229190423,0.6271379703534778
andren_lynx_roedeer_data_5,fear_memory,244.74962936838253,346.12636855164226,1.1398004974362195,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,716.1697423609857,0.5287495835163071,,,1.0,0.3,,,0.6271379703534778,0.5,,0.09039933122085027,,0.9423162195731452,0.29739395372973404,,,,,1430.5587229190423,0.6271379703534778
andren_lynx_roedeer_data_5,bda_fear,0.08117665903190492,0.05214823198767406,0.1022734659807911,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,,0.31594046636616974,1.9796444482477884,0.06093104729209595,,,0.07500642347653763,0.20758468119984336,,,0.6567344905263165,,0.05594873671943822,0.2822074194544687,,1.0,1430.5587229190423,0.1774193548387097,3.5347776510832385,,
andren_lynx_roedeer_data_6,baseline,100.95051523139173,142.76296685294204,0.8650701200923386,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,570.4564489112227,0.32487217850560873,,,,0.3,,,,0.5,,,,0.14288924334519723,0.17217867640733617,,,,,1140.9128978224455,0.29313232830820773
andren_lynx_roedeer_data_6,fear_memory,105.12685874338095,148.6693085253512,0.8657719650532961,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,579.2651403838083,0.5472686960598737,,,1.0,0.3,,,0.29313232830820773,0.5,,0.00010117730386662667,,0.1796966562057731,0.29026817116680353,,,,,1140.9128978224455,0.29313232830820773
andren_lynx_roedeer_data_6,bda_fear,0.11273524282748439,0.08348564258314807,0.1358256876780773,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,,0.28214780175483933,2.359485231735676,0.20476150170786117,,,0.0010873182857965309,0.3738536249118585,,,0.7571978009559363,,1.0241154699014716,0.5128753875076837,,1.0,1140.9128978224455,0.1346153846153846,2.1775544388609718,,
