k,u_mean,v_mean,amplitude_u,amplitude_v,rel_amplitude_u,peak_decay_ratio,n_peaks,re_max,stability,status
0.0,11.407464198576445,13.069206009423658,2.945784061125778e-08,4.832881117522447e-08,2.5823303144737344e-09,1.000000029487229,5,-0.627988391909258,stable_node,coexist
0.005,10.13144102662047,11.495443927223391,2.232607023699984e-07,2.279360078460968e-07,2.2036421253736612e-08,1.0000000694002134,9,-0.795602177583164,stable_focus,coexist
0.01,9.215719449360567,10.366053981393893,2.0106036657807635e-07,2.3769490020697503e-07,2.1817110176029386e-08,0.9999997913312219,11,-0.7418878584945761,stable_focus,coexist
0.015,8.513017518573472,9.499388282315037,1.839285754812181e-07,2.3221050682309397e-07,2.1605567600434008e-08,1.0000000260513957,9,-0.7006155521760926,stable_focus,coexist
0.02,7.950058858267194,8.805072593275149,1.7177653344191413e-07,2.741256501792577e-07,2.1606951156504366e-08,0.9999999821200997,7,-0.667440830246665,stable_focus,coexist
0.025,7.485205630558364,8.231753611679993,1.8559759062952708e-07,2.344262419740062e-07,2.4795256107838187e-08,1.0000000503758972,6,-0.6399243670686023,stable_focus,coexist
0.03,7.092617331170552,7.7475613618480335,1.488060306087391e-07,1.4994439911930613e-07,2.098041155481039e-08,0.9999999072835741,6,-0.6165643666899114,stable_focus,coexist
0.035,6.755210221335268,7.331425941982587,1.6096333421700137e-07,1.9097427550462953e-07,2.3828027395598144e-08,1.0000000901104116,5,-0.5963735273663222,stable_focus,coexist
0.04,6.461137161900674,6.96873584038426,1.9849447507880313e-07,1.6969668603650234e-07,3.072129102122512e-08,1.0000000530430118,4,-0.5786699564297786,stable_focus,coexist
0.045,6.201868739156157,6.648971439860464,1.5434337008457533e-07,1.704954177839113e-07,2.488659089317903e-08,1.0000001322277172,4,-0.5629641842176615,stable_focus,coexist
0.05,5.971075714916916,6.364326719956565,1.7023256138060106e-07,1.6355318699368127e-07,2.850952985830121e-08,1.0000000130885542,3,-0.548893796648584,stable_focus,coexist
0.055,5.763943006640252,6.108863031559306,1.522023174160836e-07,1.3624742845053106e-07,2.6405937262173047e-08,0.9999999561407912,3,-0.5361835169773268,stable_focus,coexist
0.06,5.576729943574018,5.877966920037113,1.2863057641254727e-07,1.4299846551324435e-07,2.3065591791972343e-08,0.9999999862245336,3,-0.5246197330353175,stable_focus,coexist
0.065,5.406478275325697,5.667989873347252,1.459973848483287e-07,1.3112460361952571e-07,2.7004156386725427e-08,0.9999999781412613,2,-0.514033637893541,stable_focus,coexist
0.07,5.250812222799954,5.4760017369708365,1.140024625811975e-07,1.5884862136772426e-07,2.1711395826759652e-08,1.0000001636125722,3,-0.5042897217925104,stable_focus,coexist
0.075,5.107797999380635,5.2996175205316876,1.6602585617420118e-07,1.490184571295572e-07,3.2504389600828626e-08,0.9999998708651532,3,-0.49527770646319313,stable_focus,coexist
