series,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_strength,fear_parameter,fear_parameter_bounds,optimized_fear_objective,nested_baseline_candidate_objective,nested_baseline_candidate_selected,source
glerl_m110_zoop_1994-201,fear_handling,0.17066134213180287,0.2792609108982908,-954.4835769344717,success,True,0.0044891935372179115,psi,"[1e-08, 3.1938677738741617]",7.980343935932628,7.9887223300106,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_handling,0.05686432069130245,0.08160867428459012,-200.1652929095732,usable_limit,True,1.1070509209781217e-06,psi,"[1e-08, 2.4374999999999996]",0.1228725551444896,0.1372692798898367,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_2,fear_handling,0.10294945102254087,0.09462126283771363,-155.0539721938593,success,True,1.8910738475221983e-05,psi,"[1e-08, 7.5375000000000005]",0.402718461463713,0.4041199846513419,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_3,fear_handling,0.11302108714008871,0.07552190165961614,-147.96041246901947,success,True,5.192486994907416e-06,psi,"[1e-08, 6.092592592592593]",0.48537185025315027,0.48540569678412443,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_4,fear_handling,0.05468871902329486,0.06519083289568395,-191.23904335687638,usable_limit,True,0.0,psi,"[1e-08, 2.672727272727273]",0.10769310345719824,0.10767081558272014,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_5,fear_handling,0.0618372863392787,0.060220024094795814,-182.3939105494251,usable_limit,True,0.0,psi,"[1e-08, 2.829032258064516]",0.18762129692643542,0.137658599345014,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_6,fear_handling,0.08123215206379868,0.17888014398679788,-142.00175885715365,usable_limit,True,4.297519320211243,psi,"[1e-08, 4.592307692307692]",0.21103701755974758,0.2196418878777311,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_7,fear_handling,0.10406587885425794,0.12977883441167257,-107.11294327239236,usable_limit,True,4.385116253365373e-08,psi,"[1e-08, 10.0]",0.30320802644268874,0.31261616412371396,False,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRHW,fear_handling,0.1834316385179402,0.1526342492815432,-317.15454727044283,success,True,1.4573558688369799e-05,psi,"[1e-08, 0.2]",3.2974009898124237,3.3014753374190775,False,report_protocol_extension_multiseed_global_local
timeserieslogmeans_TP,fear_handling,0.17693592600044167,0.08013947480821489,-317.26505422044943,usable_limit,True,0.00999463777258023,psi,"[1e-08, 0.3311311214825911]",3.005405034865597,3.015798551733049,False,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRGP,fear_handling,0.20523613206461,0.1862484512328017,-263.31256142399343,usable_limit,True,0.0,psi,"[1e-08, 0.2]",4.2345015206399195,3.706724551626099,True,report_protocol_extension_multiseed_global_local
isle_royale_wolf_moose_pre_2018,fear_handling,0.14601698257212103,0.22850169734910106,-214.7300352522977,usable_limit,True,1.1421953678625803e-07,psi,"[1e-08, 0.2]",1.2792802186185799,1.2802534847547555,False,report_protocol_extension_multiseed_global_local
windermere_north_pike_perch,fear_handling,0.15786285542655884,0.42309844479041286,-114.91406110928378,success,True,0.005149399269377171,psi,"[1e-08, 1.0204081632653061]",0.8971445320119302,0.9861240784679651,False,report_protocol_extension_multiseed_global_local
windermere_south_pike_perch,fear_handling,0.13877064513803045,1.3131183604768246,-124.19515754184124,usable_limit,True,0.012554855800980511,psi,"[1e-08, 1.098901098901099]",0.6932307881566274,0.7107629522722545,False,report_protocol_extension_multiseed_global_local
komi_lynx_hare,fear_handling,0.27045673749695953,0.6028165152649243,-65.02249357671563,usable_limit,True,0.0372158157551707,psi,"[1e-08, 0.2]",2.3407018845441514,3.00492804083263,False,report_protocol_extension_multiseed_global_local
