series,model,validation_rmse,aicc,optimization_status,usable_for_comparison,source
glerl_m110_zoop_1994-201,baseline,0.28136146085061686,-956.3020446989494,success,True,formal_report_fit_summary
glerl_m110_zoop_1994-201,fear_instant,0.27981203992613546,-954.2334892120713,success,True,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_memory,0.2815414527951463,-954.4434388293122,success,True,formal_report_fit_summary
glerl_m110_zoop_1994-201,fear_saturating,0.28184754948981977,-954.5977934791204,success,True,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_foraging,0.2818423545241804,-954.4960627604748,usable_limit,True,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_handling,0.2792609108982908,-954.4835769344717,success,True,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,bda_fear,0.2831294241711791,-951.8585003781488,success,True,formal_report_fit_summary
andren_lynx_roedeer_data_1,baseline,0.0701619728283596,-198.97940460579065,success,True,formal_report_fit_summary
andren_lynx_roedeer_data_1,fear_instant,0.06660473703488454,-195.896243571341,success,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_memory,0.06523219334533982,-196.59810881655685,success,True,formal_report_fit_summary
andren_lynx_roedeer_data_1,fear_saturating,0.08184493639850933,-200.19520818328067,usable_limit,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_foraging,0.06988657132532046,-195.81378103894926,success,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_handling,0.08160867428459012,-200.1652929095732,usable_limit,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,bda_fear,0.066477294016699,-187.1700714738419,success,True,formal_report_fit_summary
andren_lynx_roedeer_data_2,baseline,0.09675850584305756,-157.94824787956384,success,True,formal_report_fit_summary
andren_lynx_roedeer_data_2,fear_instant,0.08706997555129746,-158.68043298526936,success,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_2,fear_memory,0.08330112661472336,-156.45617424710954,usable_limit,True,formal_report_fit_summary
