series,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_strength,fear_parameter,fear_parameter_bounds,optimized_fear_objective,nested_baseline_candidate_objective,nested_baseline_candidate_selected,source
glerl_m110_zoop_1994-201,baseline,0.17075104952077877,0.28136146085061686,-956.3020446989494,success,True,,,,,,,formal_report_fit_summary
glerl_m110_zoop_1994-201,fear_instant,0.17073924367692078,0.27981203992613546,-954.2334892120713,success,True,7.515463908096797e-06,phi,"[1e-08, 3.1938677738741617]",7.987842029542618,7.9887223300106,False,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_memory,0.17067384263137816,0.2815414527951463,-954.4434388293122,success,True,0.010002477673725509,phi,"[1e-05, 0.2]",7.981530875738992,7.990120818271832,False,formal_report_fit_summary
glerl_m110_zoop_1994-201,fear_saturating,0.1706257758588021,0.28184754948981977,-954.5977934791204,success,True,4.536587956003509e-06,phi,"[1e-08, 0.99]",7.977294565270195,7.9887223300106,False,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_foraging,0.17065745376766325,0.2818423545241804,-954.4960627604748,usable_limit,True,1.1341897156047408e-08,psi,"[1e-08, 3.1938677738741617]",7.980190466070942,7.9887223300106,False,report_protocol_extension_multiseed_global_local
glerl_m110_zoop_1994-201,fear_handling,0.17066134213180287,0.2792609108982908,-954.4835769344717,success,True,0.0044891935372179115,psi,"[1e-08, 3.1938677738741617]",7.980343935932628,7.9887223300106,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,baseline,0.06010282414982824,0.0701619728283596,-198.97940460579065,success,True,,,,,,,formal_report_fit_summary
andren_lynx_roedeer_data_1,fear_instant,0.06010282414982824,0.0701619728283596,-195.95574869181218,success,True,0.0,phi,"[1e-08, 2.4374999999999996]",0.13748287525912312,0.1372692798898367,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_memory,0.05959696943535041,0.06523219334533982,-196.59810881655685,success,True,0.19473690158385806,phi,"[1e-05, 0.2]",0.13496749031036104,0.13749009217884256,False,formal_report_fit_summary
andren_lynx_roedeer_data_1,fear_saturating,0.0568419420470383,0.08184493639850933,-200.19520818328067,usable_limit,True,0.00019969178042985027,phi,"[1e-08, 0.99]",0.12277671673217339,0.1372692798898367,False,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_1,fear_foraging,0.06010282414982824,0.0701619728283596,-195.95574869181218,success,True,0.0,psi,"[1e-08, 2.4374999999999996]",0.1377803682146087,0.1372692798898367,True,report_protocol_extension_multiseed_global_local
